person_id,movie_id
1055329,112742
937313,89497
937006,89515
270,216910
3751,108833
1037333,104997
124314,37205
141980,58391
38967,52908
110968,110942
574223,75232
120832,64244
32891,71044
231248,81950
931434,253476
4529,78158
107824,341408
931210,84730
106843,23274
17441,367153
1161258,328940
227,244039
1016242,248475
2470,400041
1260729,344113
2535265,386219
120234,312157
230805,286472
1286144,250935
1150005,343139
937201,400403
1371297,311226
928229,386587
93004,300487
116157,365188
63584,293021
928221,391763
1336213,279634
3620,243460
1288492,359348
482101,396065
1503570,421333
61399,430364
79003,515189
1585046,554110
1166880,609164
2875497,595108
20173,144881
1266122,68365
1061496,50289
1091565,196357
1195603,115306
109809,206624
544831,84939
217554,64447
930376,60279
1116253,111374
136796,46545
82639,75600
132739,45250
110382,154326
4455,23704
1044336,115506
1022409,55961
587688,79635
556978,105658
86077,140770
1052799,61848
1189199,68614
34019,82303
1203905,50581
138513,138614
28514,97440
35792,74303
73548,27043
1186547,41797
82758,18178
147,168336
118418,37736
67315,44167
225582,21772
141261,127881
1198732,189242
4793,75875
150577,43073
6291,220016
147,173224
931890,77281
3623,189364
126133,36565
22490,34745
204110,171046
90680,18409
1568616,25782
35792,82587
545087,75968
936249,88546
19538,27288
1043247,108052
587923,123945
1379831,60733
234572,106153
212815,145909
19116,16675
138828,119896
13275,148066
1100033,134782
35353,102508
88851,81347
11478,63701
1195584,84167
181876,112136
1175008,212074
54338,225077
140418,48401
1154530,73320
1026269,187632
270,108321
589004,80197
22462,16956
140538,48468
1341,85590
11486,74770
83504,18749
108471,141971
79001,81536
554811,33351
1177825,197663
188370,108542
134419,46003
125444,41094
234129,62614
76931,210346
125584,41140
8213,26350
592227,81675
72865,199644
59899,62721
3151,130917
91870,44814
245,91609
1184823,47405
232944,77958
235998,62780
123560,39937
1055687,112833
55836,194143
81821,79211
133090,85924
1064517,116785
20508,118638
6405,15729
556829,73800
1206497,221427
67737,46296
1569,46316
25541,41393
99322,27965
129886,282475
1593730,369865
64453,382118
1361241,240206
47836,362457
209326,284762
966553,412150
2028683,499670
566727,462065
550167,471469
53675,413637
70106,416309
115290,451914
928221,496324
1721789,429952
231649,406490
2435746,635524
588007,457648
2178470,585256
80524,113145
1509206,640340
590250,80706
46853,71114
53493,32222
79827,87861
30618,57244
1021448,99509
929759,83559
84844,19582
142766,37572
1165387,158945
1183537,170403
64441,23698
157737,226529
116157,103745
87341,113465
234894,51962
1089664,23729
1157333,174737
35780,34418
120686,70026
8349,50641
27011,29731
2978141,49360
1042657,107816
3623,209420
147733,161529
110902,163598
29082,75863
558003,70149
543162,20081
141317,88451
41356,24143
1074097,46824
1275753,77322
1069886,60677
20212,95590
986555,231531
