movie_id,genre_id,genre_name
78559,53,Thriller
1029595,18,Drama
1029595,9648,Mystery
442267,18,Drama
442267,10770,TV Movie
505436,35,Comedy
538675,35,Comedy
538675,18,Drama
538675,80,Crime
33623,18,Drama
33623,9648,Mystery
55029,878,Science Fiction
78562,35,Comedy
78562,10402,Music
111235,80,Crime
111235,36,History
820065,12,Adventure
111193,14,Fantasy
111193,27,Horror
111193,10749,Romance
33652,36,History
33652,18,Drama
111234,878,Science Fiction
295792,18,Drama
14390,35,Comedy
14390,80,Crime
14390,18,Drama
317177,18,Drama
317177,35,Comedy
55060,18,Drama
55061,18,Drama
55061,53,Thriller
111237,28,Action
111237,12,Adventure
111237,14,Fantasy
111237,10752,War
295779,878,Science Fiction
295779,18,Drama
295779,10752,War
295779,10749,Romance
373339,99,Documentary
55036,18,Drama
295799,99,Documentary
442234,80,Crime
78578,35,Comedy
635528,35,Comedy
635528,18,Drama
442249,27,Horror
442249,28,Action
442249,53,Thriller
505321,99,Documentary
243233,18,Drama
505527,18,Drama
55064,18,Drama
55064,10749,Romance
14394,28,Action
14394,12,Adventure
14394,80,Crime
14394,18,Drama
55063,99,Documentary
55063,10402,Music
78564,14,Fantasy
78564,35,Comedy
78564,12,Adventure
78564,9648,Mystery
33639,35,Comedy
505351,99,Documentary
78579,35,Comedy
78579,18,Drama
78566,18,Drama
78566,28,Action
78566,80,Crime
78566,10749,Romance
505579,53,Thriller
505579,80,Crime
14392,28,Action
14392,18,Drama
14392,36,History
14406,35,Comedy
767524,99,Documentary
276536,99,Documentary
295804,18,Drama
295804,35,Comedy
373365,10749,Romance
373365,18,Drama
317210,80,Crime
317210,18,Drama
373399,35,Comedy
373399,10402,Music
373399,10749,Romance
33636,18,Drama
33636,53,Thriller
442314,99,Documentary
55044,80,Crime
55044,18,Drama
78590,35,Comedy
33644,35,Comedy
33644,18,Drama
33644,10749,Romance
602874,18,Drama
602874,10751,Family
602874,10770,TV Movie
373354,35,Comedy
373354,18,Drama
14410,10402,Music
14410,18,Drama
14410,36,History
55049,35,Comedy
55049,80,Crime
33665,18,Drama
78567,18,Drama
78567,10749,Romance
111261,99,Documentary
111256,27,Horror
505423,27,Horror
505423,9648,Mystery
505423,53,Thriller
55047,99,Documentary
317214,12,Adventure
317214,35,Comedy
317214,18,Drama
243270,53,Thriller
243270,18,Drama
55072,28,Action
55072,18,Drama
55072,53,Thriller
55033,35,Comedy
55033,18,Drama
55033,10751,Family
33646,35,Comedy
33646,10749,Romance
243362,18,Drama
442266,35,Comedy
33676,35,Comedy
14399,35,Comedy
14399,28,Action
14399,80,Crime
243451,35,Comedy
373416,10752,War
14397,80,Crime
14397,18,Drama
14397,27,Horror
14397,53,Thriller
14413,99,Documentary
111233,9648,Mystery
111233,53,Thriller
111233,80,Crime
111233,18,Drama
55080,28,Action
55080,80,Crime
55080,27,Horror
55080,878,Science Fiction
602863,35,Comedy
442286,99,Documentary
14398,28,Action
14398,80,Crime
14398,53,Thriller
505513,35,Comedy
505513,9648,Mystery
373378,35,Comedy
78576,35,Comedy
78576,12,Adventure
340746,53,Thriller
340746,80,Crime
442270,53,Thriller
180147,35,Comedy
55059,35,Comedy
55059,10749,Romance
55093,37,Western
55093,28,Action
55093,53,Thriller
295800,18,Drama
295800,10751,Family
14400,12,Adventure
14400,18,Drama
14400,28,Action
14400,53,Thriller
14416,18,Drama
14416,28,Action
14416,35,Comedy
33682,18,Drama
505514,18,Drama
505514,10751,Family
340760,18,Drama
373443,35,Comedy
373443,18,Drama
373443,53,Thriller
180159,18,Drama
243459,10751,Family
602865,18,Drama
602865,10751,Family
557968,28,Action
33660,18,Drama
33660,10751,Family
111300,99,Documentary
276537,99,Documentary
276537,36,History
243462,18,Drama
243462,10770,TV Movie
243462,80,Crime
78577,10749,Romance
78577,35,Comedy
538702,18,Drama
295831,99,Documentary
14403,18,Drama
180219,99,Documentary
373446,99,Documentary
14407,35,Comedy
505544,35,Comedy
180211,99,Documentary
180223,18,Drama
180223,28,Action
78646,18,Drama
14405,35,Comedy
14405,10751,Family
14405,12,Adventure
14405,10749,Romance
1029873,99,Documentary
14419,35,Comedy
14419,18,Drama
33657,35,Comedy
33657,10749,Romance
55068,28,Action
55068,12,Adventure
55068,878,Science Fiction
14408,35,Comedy
14408,878,Science Fiction
897679,80,Crime
55069,12,Adventure
55069,27,Horror
55069,28,Action
55069,53,Thriller
373397,10402,Music
373397,35,Comedy
373397,10749,Romance
602939,35,Comedy
602939,28,Action
505581,18,Drama
505581,35,Comedy
243474,18,Drama
243442,35,Comedy
33670,35,Comedy
373451,10402,Music
373451,99,Documentary
442336,35,Comedy
55107,18,Drama
55107,10749,Romance
276137,99,Documentary
442331,18,Drama
841538,10749,Romance
841538,35,Comedy
180267,27,Horror
704488,99,Documentary
505593,18,Drama
14423,35,Comedy
14423,28,Action
33671,28,Action
33671,35,Comedy
33671,80,Crime
14412,80,Crime
14412,10749,Romance
111323,18,Drama
111323,28,Action
111323,53,Thriller
111323,80,Crime
373453,35,Comedy
373408,18,Drama
180271,10749,Romance
180271,9648,Mystery
180204,35,Comedy
180204,18,Drama
373441,99,Documentary
295838,28,Action
295838,10752,War
111325,10751,Family
111325,35,Comedy
340744,27,Horror
340744,53,Thriller
442353,35,Comedy
55111,18,Drama
55111,10749,Romance
55114,35,Comedy
505600,35,Comedy
295824,18,Drama
295824,10749,Romance
180272,16,Animation
180272,35,Comedy
180272,10751,Family
317229,18,Drama
14414,18,Drama
14414,10402,Music
14425,35,Comedy
373442,99,Documentary
442419,35,Comedy
243455,35,Comedy
243455,80,Crime
243455,18,Drama
243455,10751,Family
180205,878,Science Fiction
180205,28,Action
180205,12,Adventure
180205,27,Horror
295830,27,Horror
295830,28,Action
295830,878,Science Fiction
243531,28,Action
243531,53,Thriller
33700,10402,Music
14415,36,History
14415,18,Drama
55117,35,Comedy
55103,18,Drama
340816,10751,Family
340816,35,Comedy
340816,10749,Romance
33697,80,Crime
33697,18,Drama
78604,18,Drama
505618,10751,Family
505618,12,Adventure
505618,35,Comedy
14430,35,Comedy
14430,80,Crime
14430,9648,Mystery
33701,35,Comedy
78668,18,Drama
55101,80,Crime
55101,18,Drama
55101,53,Thriller
33688,35,Comedy
33688,18,Drama
373470,99,Documentary
317246,12,Adventure
442438,36,History
442438,35,Comedy
14417,27,Horror
14417,9648,Mystery
442370,28,Action
442370,18,Drama
180296,35,Comedy
55102,27,Horror
373475,99,Documentary
373472,99,Documentary
33689,35,Comedy
33689,10751,Family
33689,10749,Romance
78635,10749,Romance
78635,35,Comedy
505638,18,Drama
505638,36,History
180299,28,Action
180299,80,Crime
180299,53,Thriller
243463,12,Adventure
243463,10751,Family
1029968,18,Drama
317264,10770,TV Movie
317264,35,Comedy
317264,10749,Romance
505653,99,Documentary
14424,35,Comedy
14424,10749,Romance
14424,18,Drama
243544,10402,Music
243544,10751,Family
373478,99,Documentary
340779,10751,Family
340779,14,Fantasy
340804,18,Drama
340804,35,Comedy
55120,35,Comedy
373449,28,Action
373449,878,Science Fiction
373449,14,Fantasy
602971,35,Comedy
602971,18,Drama
1029942,99,Documentary
14421,18,Drama
442452,36,History
55106,35,Comedy
55106,10749,Romance
243526,18,Drama
243526,35,Comedy
243526,80,Crime
538715,9648,Mystery
538715,53,Thriller
538715,18,Drama
78688,35,Comedy
373450,18,Drama
14442,10751,Family
14442,14,Fantasy
14442,35,Comedy
14435,27,Horror
14435,9648,Mystery
14435,53,Thriller
55129,35,Comedy
180252,35,Comedy
180252,18,Drama
180252,10749,Romance
111326,18,Drama
55123,35,Comedy
55123,18,Drama
340812,18,Drama
14422,35,Comedy
14422,18,Drama
14428,35,Comedy
14443,12,Adventure
14443,878,Science Fiction
14443,35,Comedy
14443,10751,Family
14438,18,Drama
14438,10749,Romance
295832,10749,Romance
