movie_id,company_id,company_name
111171,33137,Morag Loves Company
111171,280,Cinémaginaire
14370,3088,Tri-Star-Delphi III Productions
14370,187063,Brian Grazer Productions
373349,79081,Film Manufacturers
373349,1421,World of Wonder
373349,14914,HBO Documentary Films
505273,74289,BASIS BERLIN Filmproduktion
505273,4606,ZDF
505273,31052,Deutsche Film- und Fernsehakademie Berlin (DFFB)
33608,41355,Delirium
33608,83125,RTV Pink
33608,25204,RTS
78563,11796,Centre du Cinéma et de l'Audiovisuel de la FWB
78563,3040,Versus Production
704331,344,Mosfilm
579298,2902,SND
442236,862,The Kennedy/Marshall Company
78565,1400,Labrador Films
78565,101329,Unité Un
373353,140857,Mago Films
373353,140858,Photogroup Films
373353,129231,Scarlett Cinema
505280,231111,GroundSpark
505280,231115,Women's Educational Media
33638,4376,First Artists
33638,7698,National General Pictures
55008,18080,Youz Films
180048,84017,Whitesands Media House
55035,875,Films A2
55035,17219,S.F.P.C.
33610,155990,RAI Cinema
33610,82006,Harold Film
33610,11912,Mikado Film
243139,76926,Pomegranate Pendant Productions
55011,17355,Phanta Vision Film International B.V.
373321,4098,Carnaby International
373321,122034,Signature Films
373321,21646,Richwater Films
33611,68129,Dream Company
317188,7013,Hunnia Filmstúdió
317188,8100,Mafilm
505362,15513,Rodando Films
340696,8165,Televicine S.A. de C.V.
295782,13587,Ziegler Film
295782,1251,ARD
373355,105040,Hellflower Films
373355,78496,Tigerlily Films
373355,86199,Pumpernickel Films
373355,55968,Submarine
897611,10845,Lenfilm
111188,20124,El Pampero Cine
111188,132552,I.Sat
243149,12874,Phranakorn Film
442256,86675,Productions Georges Legrand
78568,21740,Dacia Films
78568,874,Cinéa
78568,104,Canal+
78568,310,CNC
78568,25513,Sofinergie 1
78568,161065,SofyGram
14395,19146,Dharma Productions
340712,53653,Caracol
340712,53649,JWProductions
340712,53648,Discovery Studios
317161,64957,Philippians Productions and Entertainment
317161,42930,Tuko Film Productions
317161,176828,RCP Production
317161,85600,Buchi Boy Entertainment
14396,12,New Line Cinema
33645,136207,Right Coast Productions
557908,92244,PT Bola Dunia Film
897620,344,Mosfilm
78571,10146,Focus Features
78571,1473,Depth of Field
78571,11391,Tribeca Productions
78571,18479,Corduroy Films
373371,84532,Mita'i Films
373371,84533,Machita Film
111190,9,Gaumont
111190,7584,Screen Australia
111190,2564,Ciné-@
111190,21079,Hopscotch Features
111190,22983,Mon Voisin Productions
111190,10951,Screen NSW
111190,104,Canal+
111190,83,France 2 Cinéma
111190,7131,France Télévisions
180081,75892,Gelfand Films
180081,75893,Arfilm
