movie_id,keyword_id,keyword_name
394684,207268,neo-noir
132551,428,nurse
132551,2334,nightclub
132551,2696,drums
132551,10399,dogfight
132551,11719,dirty cop
132551,11734,police corruption
132551,13005,doctor
132551,170521,gynecologist
445101,616,witch
182981,738,sexuality
182981,41260,sensuality
182981,187056,woman director
182981,280003,girls love
182981,281741,nudity
245891,2708,hitman
245891,8045,bratva (russian mafia)
245891,3149,gangster
245891,3271,secret organization
245891,9748,revenge
245891,9826,murder
245891,15162,dog
245891,18115,retired
245891,33476,widower
394697,447,post-traumatic stress disorder (ptsd)
394697,159909,veteran
394697,163077,military veteran
329687,736,journalist
329687,549,prostitute
329687,10683,coming of age
329687,184988,childhood sexual abuse
329687,206789,sex tourism
270886,4232,melancholy
270886,13088,summer
394692,9872,grief
394692,187056,woman director
357246,193459,australian aboriginal
357246,209560,aboriginal
394723,1326,infidelity
394723,128,love triangle
394723,6038,marriage
394723,9673,love
394723,34094,extramarital affair
394723,187056,woman director
132561,789,muslim
132561,941,tradition
132561,1690,belgium
132561,6713,integration
132561,10180,male homosexuality
132561,157096,homoeroticism
132561,158718,lgbt
132561,258533,gay theme
45132,2231,drug dealer
45132,258,bomb
45132,1419,gun
45132,9715,superhero
45132,10123,dark comedy
45132,10292,gore
45132,5451,comic book
45132,7002,vigilante
45132,12352,comic book shop
45132,12353,comic book collector
45132,12997,dinner
45132,15090,police officer
45132,172141,cosplay
45132,179431,duringcreditsstinger
45129,13059,prostitution
45129,14964,drugs
45129,156196,street life
45129,187056,woman director
394719,818,based on novel or book
394719,2795,mystic
245899,187056,woman director
95103,2041,island
95103,15097,shark
95093,5138,gas
95093,7486,milk
95093,12193,reporter
132585,717,pope
132585,5565,biography
132585,157008,catholic church
8741,6917,epic
8741,818,based on novel or book
8741,11139,steel helmet
8741,1956,world war ii
8741,3994,battle assignment
8741,4278,invasion
8741,11106,infantry
8741,4405,marine corps
8741,4595,us army
8741,7156,commander
8741,9897,rifle
8741,8083,pacific
8741,9525,pacific war
8741,10349,survival
8741,10787,jungle
8741,11400,sergeant
8741,11823,pacific island
8741,13065,soldier
8741,14643,battle
8741,14955,fighting
8741,160325,guadalcanal
8741,161246,pacific theater
8741,165431,anti war
8741,169123,awol
8741,207883,1940s
8741,232587,philosophic conflict
245916,591,central intelligence agency (cia)
245916,2149,drug trafficking
245916,5565,biography
245916,10764,crack cocaine
245916,181635,government conspiracy
245916,195240,investigative journalism
245916,256640,american journalist
245916,314801,"san jose, california"
24739,720,helicopter
24739,677,nuclear war
24739,4210,panic
24739,4630,chaos
24739,1419,gun
24739,1420,gas station
24739,10123,dark comedy
24739,10738,diner
24739,2187,riot
24739,10150,end of the world
24739,11737,payphone
24739,12670,"los angeles, california"
24739,14601,explosion
24739,162914,one night
24739,188960,elevator
24734,486,himalaya mountain range
24734,1262,mountain
24734,9672,based on true story
24734,10181,based on play or musical
24734,7021,pakistan
24734,8624,climbing
24734,9356,k2
24734,159212,mountain climbing
24740,570,rape
24740,6152,supernatural
24740,10114,evil spirit
24740,12565,psychological thriller
24740,15208,biting
24740,211659,somber
24740,230191,haunted
24740,314730,suspenseful
24740,325766,antagonistic
24740,325825,horrified
24740,325839,ominous
8740,254,france
8740,697,loss of loved one
8740,1930,kidnapping
8740,2781,roadhouse
8740,6876,vacation
8740,10941,disappearance
8740,156091,missing person
8744,380,sibling relationship
8744,6149,police
8744,1419,gun
8744,1562,hostage
8744,4063,siege
445137,378,prison
445137,417,corruption
445137,184233,theater troupe
24742,3452,love letter
24742,13088,summer
24742,14714,summer vacation
24742,155722,teen comedy
24742,171612,secret admirer
245913,6075,sports
245913,5565,biography
245913,13042,football (soccer)
394743,5349,surfing
394743,9673,love
394743,209374,hero's journey
394743,223004,quadriplegia
24738,175821,gymnast
24738,261734,north korea
445203,131,italy
445203,7312,road trip
445203,18011,pregnant woman
45133,1192,sweden
45133,18068,teenage boy
329697,1740,pop culture
329697,9818,fan culture
329697,33490,filmmaking
329697,189978,fan film
329697,220266,fandom
8743,697,loss of loved one
8743,4725,baby-snatching
8743,8085,"stockholm, sweden"
8743,15363,bank robbery
67567,1794,yakuza
67567,2987,gang war
67567,10085,betrayal
270887,1956,world war ii
270887,7492,serbia
270887,9905,german occupation
245958,2810,anti-globalisation activist
245958,10637,food
245958,33573,banana
245958,41593,meal
245958,161197,tuna
394741,212,"london, england"
394741,1786,heart attack
394741,3230,male friendship
394741,3485,comedian
394741,5565,biography
394741,9672,based on true story
394741,169085,double act
394741,173687,music hall
394741,208611,1950s
394741,214548,1930s
8747,5656,"sydney, australia"
8747,1421,birthday
8747,1646,autism
8747,9848,family dinner
8747,15058,swimming
8747,157303,first love
8747,170154,social services
8747,187056,woman director
24746,578,rock 'n' roll
24746,11491,cult figure
24746,14570,las vegas
24746,18034,desert
24746,18098,samurai sword
24746,208349,child
132601,4344,musical
8749,1787,"helsinki, finland"
8749,4480,businessman
8749,697,loss of loved one
8749,10181,based on play or musical
8749,165214,shakespeare in modern dress
24750,582,"san francisco, california"
24750,2598,museum
24750,4379,time travel
24750,4007,jack the ripper
24750,5455,time machine
24750,8250,victorian england
8748,970,parent child relationship
8748,697,loss of loved one
8748,2658,new zealand
8748,2754,trauma
8748,3015,fast food restaurant
8748,5350,eagle
8748,5707,childhood trauma
8748,7151,junk food
8748,9748,revenge
8748,13072,falling in love
8748,14534,relationship
8748,15097,shark
8748,33673,apple
8748,253396,wellington new zealand
45139,186,christianity
45139,2618,miracle
45139,3571,crucifixion
45139,3036,bible
45139,11001,religion
45139,170335,whipping
45139,192947,religious film
45139,222184,gospel of luke
45139,222185,1st century
45139,253695,christian film
45139,281237,independent film
95136,640,transvestite
95136,187056,woman director
95136,258533,gay theme
45144,1773,socialism
24749,5198,cold
24749,2568,language barrier
24749,7330,glacier
24749,8721,arctic polar circle region
24749,10983,anthropology
24749,10506,prehistory
24749,159955,cavemen
24749,161276,anthropologist
24749,162341,frozen alive
24749,162342,discovery
24749,191348,neanderthal
24749,255612,biosphere
24747,6075,sports
67568,1794,yakuza
67568,2987,gang war
357260,254,france
357260,1956,world war ii
357260,9905,german occupation
357260,18060,divorced woman
357260,18409,mental patient
357260,33490,filmmaking
357260,41329,mental illness
357260,187056,woman director
45145,578,rock 'n' roll
45145,4048,musician
45145,2334,nightclub
45145,9468,liar
45145,6432,rent
183078,1442,winter
183078,1956,world war ii
183078,3373,snowstorm
394754,6895,philippines
394754,187056,woman director
508157,4344,musical
619425,1405,roman empire
619425,219371,vintage erotica
619425,238355,gay pornography
132622,1422,boat
132622,2393,adoption
132622,6038,marriage
132622,18011,pregnant woman
132622,207819,accident
132622,215656,car driver
445224,6149,police
445224,1568,undercover
445224,10175,drug cartel
445224,196340,triads
286896,10244,based on cartoon
286896,15016,twins
286896,179991,movie serial
95140,6270,high school
95140,3070,mercenary
95140,162380,ex soldier
329712,156052,unemployment
329712,190823,social realism
45152,155139,porn parody
8764,5349,surfing
8764,578,rock 'n' roll
8764,966,beach
8764,3800,airplane
8764,1563,prisoner
8764,817,bookshop
8764,2019,liberation of prisoners
8764,470,spy
8764,4300,parachute
8764,8089,autoradio
8764,10551,ballet
8764,11931,spoof
8764,236316,anarchic comedy
8765,2964,future
8765,2157,hacker
8765,2812,computer virus
8765,282,video game
8765,4563,virtual reality
8765,4565,dystopia
8765,10048,unrequited love
8765,12190,cyberpunk
8765,13006,torture
8765,15256,cyberspace
8765,175629,alternative reality
286900,184656,wuxia
286900,187056,woman director
619441,1157,husband wife relationship
619441,18128,inmate
619441,33421,crime family
619441,155546,female police officer
619441,206887,"seville, spain"
619441,215741,shantytown
619441,240237,mother son relationship
619441,255626,petty criminal
656917,10226,neighbor
656917,18035,family
8766,310,artificial intelligence (a.i.)
8766,6154,hell
8766,5721,engineer
8766,8377,pinhead
8766,15001,demon
8766,17996,puzzle box
8766,161208,cenobite
8766,209027,artificial
45153,380,sibling relationship
45153,970,parent child relationship
45153,6156,superstition
45153,12335,aunt niece relationship
45153,5975,menstruation
45153,11705,tavern
45153,10541,curse
45153,34100,all black cast
45153,187056,woman director
45153,200918,angry
45153,251667,anxious
45153,263959,vindictive
45153,266753,cautionary
45153,325776,baffled
329718,514,spain
329718,1964,cave
329718,162342,discovery
329718,229262,altamira
549053,212,"london, england"
549053,65,holiday
549053,9799,romantic comedy
549053,12990,singing
549053,17971,homeless shelter
549053,189966,holiday season
549053,207317,christmas
549053,250617,santa's elves
8767,1545,supermarket
8767,690,gorilla
8767,1440,spaghetti
8767,5956,stuntman
8767,18165,animals
246053,736,journalist
246053,2437,"munich, germany"
246053,8971,oktoberfest
246053,206544,bomb attack
24768,894,depression
24768,2039,sexual frustration
24768,4671,bad luck
24768,155263,dildo
24768,165402,semi autobiographical
508205,818,based on novel or book
508205,180999,drought
508205,207928,19th century
508205,250808,brazilian northeast
508205,254815,brazilian literature
45156,6282,workplace
45156,10163,cancer
45156,14522,co-workers relationship
45156,156921,dog allergy
45156,161698,doctor patient relationship
45156,179431,duringcreditsstinger
45156,187056,woman director
656943,246377,music documentary
8768,90,"paris, france"
8768,128,love triangle
8768,6267,approved school 
8768,965,age difference
8768,708,runaway
8768,2699,fetish
8768,5825,precocity
8768,14604,theft
619460,1781,"mallorca island, spain"
619460,6956,treasure hunt
45161,11800,mockumentary
45161,163053,found footage
24772,772,handcuffs
24772,13027,wedding
24772,163405,aerobics
329750,187056,woman director
329750,193305,dishonesty
394812,187056,woman director
394812,223181,comfort women
8769,11477,anthropomorphism
8769,169654,overprotective parent
8769,205276,vexed
8769,209387,inanimate objects come to life
8769,259376,playful
8769,263959,vindictive
8769,325801,distressing
8769,325823,harsh
24773,10257,afrikaans
246087,6149,police
246087,3149,gangster
246087,15405,godfather
246087,202559,district
246087,209051,adopted son
246080,658,sea
246080,1321,gold
246080,1316,captain
246080,339,submarine
246080,14785,underwater
67613,14895,cannibal
67613,15365,held captive
67613,15381,captive
45169,4565,dystopia
45169,2219,ice age
45169,4458,post-apocalyptic future
45169,10090,board game
45169,220572,deadly game
45169,325790,cruel
24782,534,mexico
24782,642,robbery
24782,770,scotland yard
24782,9672,based on true story
24782,10051,heist
24782,13008,train
24782,156120,train robbery
24782,208992,1960s
95179,225273,k-pop
95179,251523,idol group
183182,6038,marriage
67616,3571,crucifixion
67616,10714,serial killer
8771,6158,cult
8771,202623,mind
8771,207087,ripper
619487,6054,friendship
45170,187056,woman director
67619,17978,electric vehicles
67619,17979,electric car
67619,17980,green energy
67619,33653,alternative energy
24777,612,hotel
24777,12670,"los angeles, california"
45174,11494,drug use
45174,187056,woman director
45174,241738,sister sister relationship
246127,1329,canada
246127,14540,accidental death
246127,241737,loss of child
307314,187056,woman director
67627,6075,sports
67627,6496,basketball
67627,157151,astrology
67627,251859,pisces
8772,931,jealousy
8772,380,sibling relationship
8772,4079,lighthouse
8772,8729,lighthouse keeper   
8772,8101,night train
8772,33841,incest
394830,378,prison
394830,918,newspaper
394830,736,journalist
394830,745,nun
394830,5340,investigation
394830,2626,exorcism
394830,3571,crucifixion
394830,10093,priest
394830,159940,exorcist
394830,161261,demonic possession
95206,10714,serial killer
394823,391,flying car
394823,1436,inventor
394823,9951,alien
24789,394,gypsy
24789,272,transylvania
24789,3133,vampire
24789,1909,coffin
24789,6231,half-brother
24789,9854,artifact
24789,10241,caretaker
24789,11181,decapitation
24789,178856,folklore
24789,179433,haunted castle
24789,210990,stake
95251,10174,delta force
24794,966,beach
24794,999,sports car
24794,5605,volleyball
24794,15162,dog
394822,212,"london, england"
394822,1228,1970s
394822,2187,riot
394822,12090,cross dressing
394822,18001,rock band
394822,163133,singer-songwriter
394822,192589,the clash
394822,207819,accident
394822,242689,teenage protagonist
45179,187056,woman director
24787,483,riddle
24787,3136,plantation
24787,7375,twin brother
24787,15040,ghost hunting
24787,156097,evil twin
24787,157241,criminal investigation
24787,157943,hunchback
24787,166464,confederate soldier
24787,184238,inheritance challenge
24787,208024,headless horseman
24787,233090,southern girl
24787,235886,jealous brother
24787,260191,suspicious butler
270916,970,parent child relationship
270916,9714,remake
183213,2708,hitman
183213,222665,missing wife
1143813,322530,theatrical version
132681,12649,samba
45180,6075,sports
45180,9706,anthology
45180,13042,football (soccer)
45180,156866,based on short story
45183,2676,honeymoon
45186,947,prohibition era
45186,11514,social satire
45186,10053,sexploitation
45186,10176,gun battle
45186,155493,campy
45186,322268,comedy
8777,378,prison
8777,1244,hungary
8777,13005,doctor
8777,158987,post war
270919,187056,woman director
8776,11109,military officer
8776,1755,fascism
8776,1956,world war ii
8776,5333,guest
8776,1244,hungary
8776,9052,major
8776,18035,family
8776,158455,oppression
67634,187056,woman director
24798,1415,small town
24798,1556,texas
24798,11687,breaking the fourth wall
357411,236,suicide
357411,818,based on novel or book
357411,4978,immortality
357411,490,philosophy
357411,4565,dystopia
357411,2651,nanotechnology
357411,4458,post-apocalyptic future
357411,3469,utopia
357411,9685,futuristic
357411,10614,tragedy
357411,10410,conspiracy
357411,12190,cyberpunk
357411,12565,psychological thriller
357411,210024,anime
67642,1930,kidnapping
67642,3296,car mechanic
67642,155939,group of friends
67642,290950,humanoid alien
67642,296608,teenager
619556,10322,native american
619556,8625,"patagonia, argentina"
619556,256478,ethnic conflict
24803,1918,cooking
24803,6808,cookbook
24803,10851,blog
24803,161304,9/11
24803,187056,woman director
24803,217930,french cuisine
