,international,worldwide,domestic,error
tt0073158,0.0,0.0,0.0,
tt1459219,3400282.0,3400282.0,0.0,
tt0218559,0.0,0.0,0.0,
tt5157052,0.0,0.0,0.0,
tt0343788,0.0,0.0,0.0,
tt0997155,0.0,0.0,0.0,
tt0120214,0.0,0.0,0.0,
tt0309061,25823.0,86863.0,61040.0,
tt0085422,0.0,0.0,0.0,
tt0119381,0.0,5936344.0,5936344.0,
tt7666250,2072661.0,2072661.0,0.0,
tt0217331,0.0,0.0,0.0,
tt1355644,203129453.0,303144152.0,100014699.0,
tt0119653,0.0,0.0,0.0,
tt0103782,0.0,0.0,0.0,
tt4021084,0.0,0.0,0.0,
tt3038142,0.0,0.0,0.0,
tt0075290,0.0,0.0,0.0,
tt2083995,0.0,0.0,0.0,
tt0405159,116271443.0,216763646.0,100492203.0,
tt0445620,2122059.0,3579902.0,1457843.0,
tt0451109,0.0,0.0,0.0,
tt0463947,0.0,0.0,0.0,
tt0088772,0.0,0.0,0.0,
tt1692504,2405336.0,2405336.0,0.0,
tt0218197,0.0,0.0,0.0,
tt0249462,87287755.0,109283018.0,21995263.0,
tt1712573,0.0,0.0,0.0,
tt0162930,0.0,0.0,0.0,
tt4830786,411817.0,1287568.0,875751.0,
tt0493432,0.0,0.0,0.0,
tt1764651,229947763.0,314975955.0,85028192.0,
tt0203022,0.0,0.0,0.0,
tt0318020,0.0,0.0,0.0,
tt0102164,0.0,626057.0,626057.0,
tt0168035,0.0,0.0,0.0,
tt0864761,29494406.0,43343384.0,13848978.0,
tt0095613,0.0,3965604.0,3965604.0,
tt1422177,251994.0,251994.0,0.0,
tt0118586,0.0,292577.0,292577.0,
tt0758442,0.0,0.0,0.0,
tt0182948,0.0,0.0,0.0,
tt1104083,285981.0,767567.0,481586.0,
tt0071600,0.0,0.0,0.0,
tt8236214,0.0,0.0,0.0,
tt1562899,350350.0,552698.0,202348.0,
tt0463283,255439.0,255439.0,0.0,
tt0806675,0.0,0.0,0.0,
tt0099901,0.0,0.0,0.0,
tt0108148,0.0,14694904.0,14694904.0,
tt1820701,0.0,0.0,0.0,
tt0073778,0.0,51264.0,51264.0,
tt2024544,131061209.0,187734091.0,56671993.0,
tt0072342,0.0,0.0,0.0,
tt0088133,0.0,0.0,0.0,
tt1149363,34128.0,34128.0,0.0,
tt0086212,0.0,0.0,0.0,
tt0210544,0.0,0.0,0.0,
tt0070839,0.0,0.0,0.0,
tt0186835,0.0,0.0,0.0,
tt4598848,0.0,0.0,0.0,
tt0095316,0.0,0.0,0.0,
tt0995039,13722535.0,27090159.0,13367624.0,
tt0486084,6338890.0,6338890.0,0.0,
tt0442379,0.0,0.0,0.0,
tt0118230,0.0,0.0,0.0,
tt0067960,0.0,0.0,0.0,
tt1593721,0.0,0.0,0.0,
tt4197480,0.0,0.0,0.0,
tt5354664,145819137.0,145819137.0,0.0,
tt0435706,40235.0,50171.0,9936.0,
tt0078140,0.0,0.0,0.0,
tt0187474,0.0,0.0,0.0,
tt2947036,0.0,0.0,0.0,
tt0080118,0.0,0.0,0.0,
tt0075839,0.0,0.0,0.0,
tt0069699,0.0,0.0,0.0,
tt0166199,0.0,0.0,0.0,
tt0376651,36914.0,36914.0,0.0,
tt0150464,42456.0,42456.0,0.0,
tt0084539,0.0,0.0,0.0,
tt0140653,0.0,0.0,0.0,
tt0485061,0.0,0.0,0.0,
tt3721048,0.0,0.0,0.0,
tt4531006,762935.0,762935.0,0.0,
tt0453172,0.0,0.0,0.0,
tt0064907,0.0,0.0,0.0,
tt0233954,0.0,0.0,0.0,
tt0487505,1643228.0,1643228.0,0.0,
tt0191033,0.0,0.0,0.0,
tt0464828,10205575.0,10205575.0,0.0,
tt0302309,0.0,11023.0,11023.0,
tt2034761,7419431.0,7419431.0,0.0,
tt0292501,0.0,10410.0,10410.0,
tt1213012,25400000.0,50507267.0,25107267.0,
tt0095903,0.0,5415.0,5415.0,
tt0089611,0.0,0.0,0.0,
tt0346147,0.0,0.0,0.0,
tt0138389,0.0,0.0,0.0,
tt0309872,2789920.0,2789920.0,0.0,
tt0135477,0.0,0.0,0.0,
tt3561046,0.0,0.0,0.0,
