movie_id,title,url_wiki,lang.,revenue,revenue_wiki,revenue_mojo,ratio,revenue_delta,revenue_delta_2,revenue_synthetic,budget,budget_wiki,budget_delta,budget_synthetic,synthetic_ratio,revenue_fix,budget_fix,Status,reason
244114,Firestorm,https://en.wikipedia.org/wiki/Firestorm_(2013_film),zh,0,55800000,55754766,0,0,1,55754766,0,20000000,-1,20000000,3,,,,
389201,A Chinese Odyssey Part Three,https://en.wikipedia.org/wiki/A_Chinese_Odyssey_Part_Three,zh,0,48400000,53306108,0,0,1,53306108,0,20000000,-1,20000000,3,,,,
11593,Nobody's Fool,https://en.wikipedia.org/wiki/Nobody%27s_Fool_(1994_film),en,0,39500000,39491975,0,0,1,39491975,0,20000000,-1,20000000,2,,,,
14538,Three Kingdoms: Resurrection of the Dragon,https://en.wikipedia.org/wiki/Three_Kingdoms:_Resurrection_of_the_Dragon,cn,0,22140000,21159916,0,0,1,21159916,0,20000000,-1,20000000,1,,,,
139319,Lady of the Dynasty,https://en.wikipedia.org/wiki/Lady_of_the_Dynasty,zh,0,20700000,20778906,0,0,1,20778906,20000000,32000000,1,20000000,1,,,,
34014,Moon Over Parador,https://en.wikipedia.org/wiki/Moon_over_Parador,en,0,11400000,11444204,0,0,1,11444204,20000000,19000000,0,20000000,1,,,,
36288,Night and the City,https://en.wikipedia.org/wiki/Night_and_the_City_(1992_film),en,0,6202756,6202756,0,0,1,6202756,20000000,18000000,0,20000000,0,,,,
27381,Innocent Blood,https://en.wikipedia.org/wiki/Innocent_Blood_(film),en,0,4900000,4943279,0,0,1,4943279,0,20000000,-1,20000000,0,,,,
14914,Flash of Genius,https://en.wikipedia.org/wiki/Flash_of_Genius_(film),en,0,4800000,4802953,0,0,1,4802953,0,20000000,-1,20000000,0,,,,
34179,14 Blades,https://en.wikipedia.org/wiki/14_Blades,zh,0,3786517,3787100,0,0,1,3787100,20000000,2576356,-1,20000000,0,,,,
400328,Air Bound,https://en.wikipedia.org/wiki/Gamba:_Gamba_to_Nakama-tachi,ja,0,2889160,2889160,0,0,1,2889160,20000000,16700000,0,20000000,0,,,,
49981,Goodbye Lover,https://en.wikipedia.org/wiki/Goodbye_Lover,en,0,1900000,1940299,0,0,1,1940299,20000000,20000000,0,20000000,0,,,Keep,
112937,The Oogieloves in The Big Balloon Adventure,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,en,0,1100000,1065907,0,0,1,1065907,0,20000000,-1,20000000,0,,,,
410366,The History of Love,https://en.wikipedia.org/wiki/The_History_of_Love_(film),en,0,382687,492272,0,0,1,492272,20000000,15884782,0,20000000,0,,,,
41956,Hanna's War,https://en.wikipedia.org/wiki/Hanna%27s_War,en,0,139796,139796,0,0,1,139796,0,20000000,-1,20000000,0,,,,
14791,Two Worlds,https://en.wikipedia.org/wiki/Two_Worlds_(2007_film),fr,0,9100000,9139095,0,0,1,9139095,0,19200000,-1,19200000,0,,,,
297725,The Man Who Killed Don Quixote,https://en.wikipedia.org/wiki/The_Man_Who_Killed_Don_Quixote,en,0,2400000,2433457,0,0,1,2433457,19116000,18711261,0,19116000,0,,,,
29621,Solo,https://en.wikipedia.org/wiki/Solo_(1996_film),en,0,5107669,5107669,0,0,1,5107669,0,19000000,-1,19000000,0,,,,
21309,River's Edge,https://en.wikipedia.org/wiki/River%27s_Edge,en,0,4600000,4600000,0,0,1,4600000,19000000,1700000,-1,19000000,0,,,,
15513,Kissing a Fool,https://en.wikipedia.org/wiki/Kissing_a_Fool,en,0,4106588,4106588,0,0,1,4106588,0,19000000,-1,19000000,0,,,,
41816,Everybody Wins,https://en.wikipedia.org/wiki/Everybody_Wins_(1990_film),en,0,1372350,1372350,0,0,1,1372350,0,19000000,-1,19000000,0,,,,
11044,Arizona Dream,https://en.wikipedia.org/wiki/Arizona_Dream,en,0,112547,112547,0,0,1,112547,19000000,15000000,0,19000000,0,,,,
80015,Hollywoo,https://en.wikipedia.org/wiki/Hollywoo,fr,0,20600000,20587850,0,0,1,20587850,0,18300000,-1,18300000,1,,,,
14649,Have Mercy on Us All,https://en.wikipedia.org/wiki/Have_Mercy_on_Us_All_(film),fr,0,6200000,6189879,0,0,1,6189879,0,18200000,-1,18200000,0,,,,
22327,Youth in Revolt,https://en.wikipedia.org/wiki/Youth_in_Revolt_(film),en,0,19700000,19651093,0,0,1,19651093,18000000,18000000,0,18000000,1,,,Keep,
33796,Mountains of the Moon,https://en.wikipedia.org/wiki/Mountains_of_the_Moon_(film),en,0,4000000,4011793,0,0,1,4011793,0,18000000,-1,18000000,0,,,,
22479,Kansas City,https://en.wikipedia.org/wiki/Kansas_City_(film),en,0,1356329,1356828,0,0,1,1356828,18000000,19000000,0,18000000,0,,,,
