company_id,company_name,parent_id
139843,Lantana,139843
10845,Lenfilm,10845
93846,Line TV,93846
11444,Lumiere,11444
82249,MB Grip,82249
126304,MP Inka,126304
86773,Madants,86773
86915,Made Oy,86915
438,Mercury,438
14,Miramax,14
344,Mosfilm,344
137209,My Year,137209
20811,NOWFILM,20811
25325,Na-Comm,25325
4595,Negativ,4595
3959,Nelvana,3959
24097,NeoReel,24097
25720,Neofilm,25720
95066,NewBeTV,95066
38178,Newcomm,38178
94691,Nova TV,94691
82925,Nvizage,82925
11674,OC Film,11674
1718,Odyssey,1718
5030,Offside,5030
14995,Ogfilms,14995
52709,Oktober,52709
7699,Palomar,7699
203,Panfilm,203
1656,Pangaea,1656
50824,Panther,50824
7981,Pathé!,7981
110247,Persona,110247
28761,Pfilmco,28761
45729,Pioneer,45729
47043,Posto 9,47043
38411,Rainbow,38411
853,Respiro,853
395,Riofilm,395
18485,Rohfilm,18485
106908,Rosebud,106908
63810,Roxbury,63810
63808,Roxbury,63808
265,Runteam,265
12431,SRG SSR,12431
3153,SUNRISE,3153
9336,SamFilm,9336
8234,SamFilm,8234
108533,Scanbox,108533
48986,Scanbox,48986
22197,Seat 13,22197
3491,Showbox,7819
75387,Skyfilm,75387
11955,Sogepaq,11955
139292,Song Zu,139292
706,Sputnik,706
96786,Stefilm,96786
87394,Suftley,87394
11992,Surreel,11992
9996,Syncopy,9996
71873,TPO Rok,71873
31292,TV Nova,31292
22916,TV Zero,22916
133824,Taken 2,133824
87854,Taken 3,87854
20370,Tatfilm,20370
114799,Telenet,114799
8736,The Con,8736
3126,The Mob,3126
56236,The See,56236
52254,Thorbak,52254
22623,Ticoman,22623
37767,Toma 27,37767
10677,Toma 78,10677
34681,Tragač,34681
19118,Tremora,19118
4078,Triumph,4078
4615,Ubisoft,4615
38773,Ulysses,38773
14547,Unafilm,14547
91151,VIA EST,91151
61303,Venfilm,61303
23084,Vertigo,23084
8211,Vivendi,8211
107108,Wattpad,107108
19123,inLoops,19123
5049,pixstar,5049
130808,13 Films,130808
109049,13 Paces,109049
2157,26 Films,2157
38011,2S Films,38011
23008,87Eleven,23008
4502,A B Corp,4502
11005,AR Films,11005
24346,ARK-Film,24346
81235,AV Films,81235
60439,AVROTROS,60439
14815,Achtfeld,14815
15608,Agitprop,15608
14552,Al!ve AG,14552
40238,Alpha TV,40238
135965,Animaker,135965
98089,Animando,98089
83276,Arkafilm,83276
89252,Arokaria,89252
67535,Ars Nova,67535
22139,Art'Mell,22139
84679,Artlight,84679
25899,Artédis,25899
41145,Asi Film,41145
20849,Audifilm,20849
97390,B2Y EOOD,97390
12935,BBC Arts,12935
15268,BKM Film,15268
30531,BN Films,30531
14393,BNJArmor,14393
16468,BR Films,16468
46136,BR Group,46136
72920,Bam Film,72920
11774,Bankable,11774
118082,Barletta,118082
8009,Belgacom,8009
34260,Benteveo,34260
13350,Big Farm,13350
2362,Bo Films,2362
94130,Buksfilm,94130
121214,By Media,121214
91532,C8 Films,91532
243,CB Films,243
7408,CD Films,7408
10102,Cattleya,10102
91533,Centrala,91533
7766,Chaocorp,7766
79031,Chatrone,79031
6900,Chez Wam,6900
4580,Cine2000,4580
140578,CineWild,140578
19029,Cinecorp,19029
56701,Cinecoup,56701
20659,Cinedigm,20659
31588,Cinegate,31588
4045,Cinegram,4045
761,Cinehaus,761
5705,CinemaNX,5705
8683,Cinemate,8683
8272,Cinenord,8272
2632,Cinephil,2632
3141,Cineplex,3141
2215,Cinevent,2215
76759,Ciné-@,76759
6270,Cinépix,6270
17031,Classico,17031
2748,Clubdeal,2748
60711,Code Red,60711
5960,Cofimage,5960
88152,Cre Film,88152
107262,Crea SGR,107262
5145,Creavidi,5145
128064,DC Films,128064
11431,DCG Plus,11431
5654,DJ Films,5654
86766,DMC Film,86766
13584,DP Films,13584
49241,Daybreak,49241
41355,Delirium,41355
36347,Deusfilm,36347
4438,Digi Art,4438
75113,Digitalb,75113
62281,Diroriro,62281
61337,Dollface,61337
11675,Duckling,11675
10899,Due West,10899
37362,DumbDumb,37362
1917,EM Media,1917
62055,EMAfilms,62055
27336,EZ Films,27336
21896,Easedram,21896
118802,Egg Film,118802
117345,Eight 35,117345
49,El Deseo,49
37769,El Reló,37769
53407,Electric,53407
32474,Epidemic,32474
64674,ErgoArts,64674
6163,Exitfilm,6163
6461,Eyeworks,6461
16116,FIDECINE,16116
2441,Fandango,2441
110353,Fat City,110353
65781,Fat Free,65781
87848,Film 111,87848
34077,Film 360,34077
8281,Film Fyn,8281
122233,Film Jam,122233
23682,FilmCamp,23682
85510,FilmWave,85510
4753,Filmauro,4753
20770,Filmicon,20770
98758,Films 18,98758
37802,Films 59,37802
875,Films A2,875
45740,Filmteam,45740
3478,FlipZide,3478
123935,FlixOlé,123935
8212,Folimage,8212
89705,Folivari,89705
83553,Frame 48,83553
11359,France 2,11359
11244,France 3,11244
33928,France 4,33928
12046,Fu Works,12046
11957,GG Filmz,11957
41756,GH Three,41756
3281,GK Films,3281
13313,GO Films,13313
4896,Galafilm,4896
13134,Gatacine,13134
69334,Gennaker,69334
102521,Go Films,102521
41252,Gran Via,41252
68860,Greenfox,68860
80927,HC Films,80927
15566,Heat GBR,15566
124634,Hivemind,124634
26987,Hugofilm,26987
10936,Hydraulx,10936
7384,Hypnotic,7384
10351,IAC Film,10351
120219,IV Films,120219
10814,Icónica,10814
67678,Ifitalia,67678
110,Impéria,110
71157,Ink Film,71157
89922,J Studio,89922
14556,JOLEFILM,14556
27543,JW Films,27543
51377,Junafilm,51377
114580,Junction,114580
4286,Juno Pix,4286
13845,KADOKAWA,13845
17432,KMH Film,17432
5373,KSM Film,5373
82329,KW Films,82329
4169,Kanzaman,4169
107463,Kid Film,107463
89163,Kids' WB,89163
66079,Kino Oko,66079
21384,KinoAtis,21384
84554,Kinodanz,84554
18626,Kinology,18626
20916,Kinorama,20916
59118,Kodansha,59118
22058,Krisjair,22058
17727,LA Panda,17727
73045,LHF Film,73045
19779,LJ Films,19779
10948,La Pacte,10948
22863,La Sexta,22863
53490,La Trini,53490
8845,Ladbroke,8845
5125,Le Pacte,5125
37455,Legend3D,37455
108869,Legion M,108869
18044,Leopolis,18044
6233,Leopolis,6233
8536,Leverage,8536
102879,Lightbox,102879
105069,Limelite,105069
22007,Lionweed,22007
108243,Longride,108243
26951,Loveless,26951
106991,Lumifilm,106991
11793,Lumière,11793
11794,Lunanime,11794
1115,M6 Films,1115
24287,MG Media,24287
114202,MOVement,114202
96164,MP Films,96164
75957,MS Films,75957
113065,MackeyCo,113065
3464,Madhouse,3464
77679,Magiclab,77679
132511,Majgaard,132511
31824,Malavita,31824
4650,Marubeni,4650
52854,Masnomis,52854
67989,Material,67989
21722,Maxmedia,21722
12010,Mediapro,12010
58719,Medyapim,58719
59149,Megafilm,59149
109046,Menuetto,109046
11428,Mesfilms,11428
114736,Modelink,114736
10204,Mondo TV,10204
25626,Moonrise,25626
12065,Morituri,12065
532,Morpheus,532
1727,Movision,1727
3601,Mr. Nice,3601
22467,Mu Films,22467
84643,Mutokino,84643
39056,NTV-Kino,39056
12288,Nintendo,12288
1918,NorthSee,1918
1996,Novo RPI,1996
925,Nu Image,925
69851,Nukufilm,69851
51929,Nvizible,51929
20499,ODA-film,20499
35404,Od Shots,35404
140294,Ofvitinn,140294
33556,Om Films,33556
34068,One Eyed,34068
1225,One Race,1225
95451,Open Art,95451
78981,Optipari,78981
103700,P2 Films,103700
24903,PCH Film,24903
108631,PF Films,108631
311,PROCIREP,311
11779,Page 114,11779
8792,Pan Arts,8792
34069,Panique!,34069
114282,Panorama,114282
1784,Partizan,1784
125066,Pimienta,125066
24513,Pimienta,24513
20881,Playtime,20881
108769,Playtime,108769
4171,Playtone,4171
6238,Polyband,6238
92210,Polyfilm,92210
60229,Prima TV,60229
75406,Pro Film,75406
12405,Profidev,12405
11441,Propeler,11441
92187,Proximus,92187
34671,RTL KLUB,34671
2932,Red Hour,2932
17234,Red Lion,17234
2409,Red Lion,2409
20789,Redrover,20789
37159,Rei Cine,37159
19723,Rekun-TV,19723
24136,Reperage,24136
41658,Residaco,41658
118854,Rideback,118854
21454,Riofilme,21454
112502,Rodeo FX,112502
6302,Room 101,6302
69279,Rossfilm,69279
69587,Russia 1,69587
2888,SF Norge,2888
7519,SK Films,7519
120330,Sagewise,120330
7850,Sciapode,7850
27597,Sciarlò,27597
68355,See Film,68355
84667,Sekvenca,84667
14730,Serene 9,14730
117346,Seven 52,117346
2918,Shueisha,2918
38469,Skarkali,38469
14222,Skyewiay,14222
98544,Slayride,98544
692,Sogecine,692
54392,Soho VFX,54392
32558,Sontalia,32558
55494,Sony PCL,55494
2843,Spinster,2843
19918,Stargara,19918
20573,Station3,20573
86561,Stereo D,86561
81031,Stopline,81031
23737,Storitel,23737
14803,Story AB,14803
77863,Studio 8,77863
8208,Studio O,8208
117634,Sygnatia,117634
3522,T-Series,3522
473,TAO Film,473
86900,TIK Film,86900
22641,TOKYOPOP,22641
6586,TPS Star,6586
81411,TR9 Film,81411
9300,TV Asahi,9300
3034,TV Tokyo,3034
7764,Telecine,7764
26027,Teleclub,26027
46112,Telefilm,46112
72280,Telegael,72280
11913,Telepiù,11913
823,Telepool,823
3921,The Film,3921
36109,The Fyzz,36109
80408,The Glow,80408
57787,The Prod,57787
29507,The Walk,29507
23611,Thriller,23611
8834,Tin Blue,8834
129220,Tohgloam,129220
19510,Tonna Oy,19510
7504,Top Rope,7504
29,Topcraft,29
