company_id,movie_id
44555,320004
44556,320004
5085,320004
67412,320004
981,320004
118966,320004
838,60420
2313,60420
9350,60420
13369,60420
21892,60420
508,63492
10104,63492
1836,63492
74860,458244
7823,458244
14,5
59,5
43,773
2570,773
188,773
122144,1285
29566,1285
7864,1285
21854,1541
841,1541
20360,2309
56,2565
23787,4613
14589,4613
37498,4613
35018,70149
13407,70149
7777,70149
19117,70149
10039,5125
10040,5125
20666,5125
2251,72197
297,72197
34,72197
171,8197
1885,8197
1569,8453
130,9477
7692,9477
19098,9477
62170,402693
3631,402693
376,9989
1171,9989
1172,9989
521,10501
7,10501
19146,10757
4730,11013
4731,11013
487,77573
117925,77573
29211,77573
6105,77573
117926,77573
5926,77573
152,80389
11732,80389
19342,15365
1632,15365
74150,410117
92473,410117
288,410117
7281,410117
64479,410117
92474,410117
308,82693
76,348677
73140,348677
2801,348677
6255,21765
2783,157957
3052,28165
9124,97797
3419,97797
6768,33029
7982,33029
6755,33029
882,33029
5441,34309
41115,297733
76791,297733
76792,297733
923,41733
3527,41733
20398,174341
20399,174341
694,45061
86925,47365
22213,116741
508,116741
2796,116741
2575,116741
711,55301
508,55301
444,55301
10930,55301
25795,190469
41314,190469
58849,60421
33553,60421
16144,60421
132673,60677
831,127493
925,127493
8601,62213
2691,62213
3281,62213
79,62213
9228,62213
80,62213
21897,63493
21898,63493
21899,63493
1208,63493
21901,63493
17393,195589
16615,195589
1791,196357
1644,6
182,6
10214,262
7458,1542
915,2054
10201,2054
1382,2054
916,2054
2265,2310
11395,2310
15417,68614
109136,68614
11240,68614
23437,396806
6715,396806
61011,396806
24049,396806
109929,396806
54502,4614
2767,4614
21409,4614
21410,4614
13788,332806
30334,5894
14,5894
103476,399366
1632,399366
1182,399366
10427,72710
8073,72710
12075,72710
13649,72710
2245,7942
2246,7942
6847,7942
14,8198
763,8198
932,8198
491,8966
12292,8966
4000,8966
5218,8966
500,8966
57750,8966
420,271110
2124,10246
10313,10246
24133,10758
746,208134
6328,208134
6275,536070
207,536070
2683,536070
18973,536070
3667,13318
813,14342
6189,14342
21468,14854
21469,14854
21470,14854
54436,343814
2801,343814
107273,343814
2802,343814
995,17926
763,17926
126,17926
868,18438
112530,18438
80712,412678
80713,412678
80714,412678
2205,87558
99321,547590
559,24070
19951,25350
19952,25350
2982,25350
4700,25350
111696,229126
2348,98566
2481,98566
707,38150
2268,38150
2451,38150
5705,38150
21460,38150
21461,38150
25522,103686
25523,103686
20370,103686
12897,46342
898,47878
21541,47878
86577,441862
86578,441862
1394,114438
1107,114438
236,54022
65327,54022
925,54022
89613,384262
89612,384262
28360,188166
1976,188166
2772,188166
22700,188166
12026,254470
12365,254470
8872,60422
15268,258310
15269,258310
75040,258310
8601,62214
1885,195590
84988,195590
7625,195590
10289,195590
56832,195590
7437,195590
50079,458759
