"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2017","50.207","50.180","50.295","49.264","","0.08%"
"03/01/2017","50.169","50.169","50.500","49.999","","-0.16%"
"02/01/2017","50.247","49.765","50.521","49.494","","0.99%"
"01/01/2017","49.755","49.620","50.157","49.225","","0.40%"
"12/01/2016","49.559","49.900","50.143","49.442","","-0.26%"
"11/01/2016","49.690","48.455","50.050","48.225","","2.50%"
"10/01/2016","48.480","48.400","48.841","47.866","","0.21%"
"09/01/2016","48.380","46.600","48.513","46.411","","3.78%"
"08/01/2016","46.619","47.115","47.132","46.138","","-0.75%"
"07/01/2016","46.970","47.102","47.570","46.648","","-0.21%"
"06/01/2016","47.067","46.710","47.371","45.819","","0.70%"
"05/01/2016","46.740","46.990","47.446","46.320","","-0.57%"
"04/01/2016","47.010","45.950","47.035","45.908","","2.40%"
"03/01/2016","45.910","47.420","47.470","45.844","","-3.27%"
"02/01/2016","47.460","47.620","47.975","47.350","","-0.46%"
"01/01/2016","47.680","46.920","48.135","46.805","","1.66%"
"12/01/2015","46.900","47.160","47.520","46.805","","-0.49%"
"11/01/2015","47.130","46.773","47.373","46.688","","0.94%"
"10/01/2015","46.690","46.730","47.145","45.640","","-0.02%"
"09/01/2015","46.700","46.735","47.070","46.259","","-0.06%"
"08/01/2015","46.730","45.570","46.912","45.520","","2.37%"
"07/01/2015","45.650","45.130","45.840","45.000","","1.25%"
"06/01/2015","45.087","44.535","45.410","44.445","","1.30%"
"05/01/2015","44.510","44.615","44.885","44.325","","-0.18%"
"04/01/2015","44.590","44.675","44.765","44.158","","-0.13%"
"03/01/2015","44.650","44.130","45.030","44.034","","1.29%"
"02/01/2015","44.080","44.145","44.525","43.885","","-0.16%"
"01/01/2015","44.150","44.890","45.130","43.950","","-1.34%"
"12/01/2014","44.750","44.960","44.967","44.405","","-0.33%"
"11/01/2014","44.900","44.960","45.255","44.800","","-0.11%"
"10/01/2014","44.950","44.965","45.080","44.555","","0.04%"
"09/01/2014","44.930","43.666","45.105","43.465","","2.95%"
"08/01/2014","43.641","43.640","44.285","43.505","","0.12%"
"07/01/2014","43.590","43.675","43.710","43.147","","-0.02%"
"06/01/2014","43.600","43.810","44.135","43.450","","-0.50%"
"05/01/2014","43.820","44.490","44.610","43.480","","-1.62%"
"04/01/2014","44.540","44.785","45.090","44.248","","-0.45%"
"03/01/2014","44.740","44.750","45.380","44.288","","0.27%"
"02/01/2014","44.620","45.320","45.525","44.340","","-1.61%"
"01/01/2014","45.350","44.145","45.490","44.145","","2.21%"
"12/01/2013","44.370","43.735","44.553","43.650","","1.61%"
"11/01/2013","43.665","43.295","43.945","43.130","","1.08%"
"10/01/2013","43.200","43.460","43.550","42.975","","-0.58%"
"09/01/2013","43.450","44.600","44.690","42.900","","-2.46%"
"08/01/2013","44.545","43.435","44.755","43.410","","2.64%"
"07/01/2013","43.400","43.200","43.760","43.000","","0.75%"
"06/01/2013","43.075","42.285","44.150","41.772","","1.84%"
"05/01/2013","42.295","41.140","42.595","40.700","","2.78%"
"04/01/2013","41.150","40.800","41.450","40.750","","0.80%"
"03/01/2013","40.825","40.660","41.200","40.520","","0.55%"
"02/01/2013","40.600","40.685","40.840","40.545","","-0.15%"
"01/01/2013","40.660","41.050","41.065","40.485","","-0.85%"
"12/01/2012","41.010","40.900","41.450","40.800","","0.64%"
"11/01/2012","40.750","41.200","41.420","40.750","","-0.73%"
"10/01/2012","41.050","41.785","41.870","41.092","","-1.44%"
"09/01/2012","41.650","42.070","42.105","41.260","","-1.08%"
"08/01/2012","42.105","41.745","42.465","41.705","","0.92%"
"07/01/2012","41.720","41.990","42.265","41.563","","-0.38%"
"06/01/2012","41.880","43.505","43.715","41.930","","-3.50%"
"05/01/2012","43.400","42.190","43.975","42.118","","2.99%"
"04/01/2012","42.140","42.732","42.925","42.150","","-1.73%"
"03/01/2012","42.880","42.790","43.197","42.430","","0.33%"
"02/01/2012","42.740","42.840","43.125","42.015","","-0.23%"
"01/01/2012","42.840","43.840","44.355","42.725","","-2.17%"
"12/01/2011","43.790","43.370","44.290","43.195","","0.39%"
"11/01/2011","43.620","42.860","43.940","42.750","","2.37%"
"10/01/2011","42.610","43.840","44.185","42.545","","-2.54%"
"09/01/2011","43.720","42.420","43.950","42.080","","3.11%"
"08/01/2011","42.400","41.950","42.900","41.902","","0.64%"
"07/01/2011","42.130","43.300","43.365","42.080","","-2.77%"
"06/01/2011","43.330","43.210","43.760","43.050","","0.34%"
"05/01/2011","43.185","42.750","43.590","42.635","","0.95%"
"04/01/2011","42.780","43.400","43.535","42.795","","-1.52%"
"03/01/2011","43.440","43.575","44.035","43.175","","-0.23%"
"02/01/2011","43.540","44.100","44.310","43.250","","-1.54%"
"01/01/2011","44.220","43.680","44.760","43.530","","1.35%"
"12/01/2010","43.630","44.015","44.520","43.458","","-0.95%"
"11/01/2010","44.050","43.005","44.365","42.375","","2.92%"
"10/01/2010","42.800","43.890","43.960","42.855","","-2.47%"
"09/01/2010","43.885","45.355","45.370","43.740","","-2.96%"
"08/01/2010","45.225","45.515","45.590","44.783","","-0.43%"
"07/01/2010","45.420","46.500","46.820","45.440","","-1.99%"
"06/01/2010","46.340","46.350","46.660","45.360","","0.17%"
"05/01/2010","46.260","44.495","47.415","44.415","","3.96%"
