"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2017","1,117.42","1,145.13","1,149.68","1,116.04","","-2.35%"
"09/01/2017","1,144.29","1,124.85","1,151.69","1,118.04","","1.82%"
"08/01/2017","1,123.85","1,119.40","1,148.58","1,115.38","","0.49%"
"07/01/2017","1,118.40","1,145.60","1,158.72","1,110.23","","-2.27%"
"06/01/2017","1,144.43","1,119.65","1,148.98","1,115.15","","2.30%"
"05/01/2017","1,118.65","1,137.74","1,141.84","1,113.69","","-1.60%"
"04/01/2017","1,136.87","1,116.90","1,150.36","1,111.53","","1.81%"
"03/01/2017","1,116.65","1,137.80","1,161.67","1,106.47","","-1.74%"
"02/01/2017","1,136.39","1,151.66","1,159.15","1,124.38","","-1.24%"
"01/01/2017","1,150.65","1,206.85","1,212.45","1,147.79","","-4.61%"
"12/01/2016","1,206.25","1,177.80","1,214.82","1,156.40","","2.54%"
"11/01/2016","1,176.39","1,142.73","1,187.36","1,127.81","","3.04%"
"10/01/2016","1,141.73","1,101.80","1,149.74","1,098.95","","3.71%"
"09/01/2016","1,100.91","1,116.30","1,134.24","1,086.06","","-1.29%"
"08/01/2016","1,115.29","1,111.45","1,128.96","1,089.35","","0.40%"
"07/01/2016","1,110.89","1,152.34","1,169.30","1,110.78","","-3.48%"
"06/01/2016","1,150.99","1,189.74","1,196.15","1,140.67","","-3.15%"
"05/01/2016","1,188.39","1,145.10","1,194.58","1,132.83","","3.90%"
"04/01/2016","1,143.83","1,144.97","1,163.60","1,124.09","","-0.01%"
"03/01/2016","1,143.97","1,238.24","1,239.49","1,134.59","","-7.54%"
"02/01/2016","1,237.24","1,208.11","1,246.00","1,181.12","","2.50%"
"01/01/2016","1,207.11","1,175.94","1,221.42","1,175.09","","2.74%"
"12/01/2015","1,174.95","1,160.59","1,192.05","1,152.02","","1.32%"
"11/01/2015","1,159.61","1,140.66","1,175.78","1,127.15","","1.71%"
"10/01/2015","1,140.16","1,185.28","1,185.88","1,119.34","","-3.74%"
"09/01/2015","1,184.44","1,182.97","1,209.18","1,158.06","","0.22%"
"08/01/2015","1,181.82","1,167.15","1,208.37","1,155.69","","1.39%"
"07/01/2015","1,165.67","1,119.41","1,175.14","1,115.14","","4.17%"
"06/01/2015","1,119.03","1,113.35","1,128.40","1,097.40","","0.63%"
"05/01/2015","1,112.01","1,077.34","1,115.54","1,075.86","","3.31%"
"04/01/2015","1,076.34","1,108.99","1,109.50","1,063.30","","-2.86%"
"03/01/2015","1,107.99","1,102.05","1,139.11","1,094.29","","0.68%"
"02/01/2015","1,100.53","1,101.15","1,116.15","1,083.66","","-0.08%"
"01/01/2015","1,101.40","1,093.90","1,112.12","1,073.31","","0.78%"
"12/01/2014","1,092.90","1,113.29","1,122.42","1,078.70","","-1.76%"
"11/01/2014","1,112.45","1,078.62","1,117.96","1,071.80","","3.72%"
"10/01/2014","1,072.60","1,057.55","1,076.35","1,044.29","","1.71%"
"09/01/2014","1,054.55","1,014.15","1,057.55","1,012.15","","4.01%"
"08/01/2014","1,013.85","1,032.45","1,041.40","1,012.90","","-1.35%"
"07/01/2014","1,027.75","1,011.75","1,036.50","1,008.25","","1.61%"
"06/01/2014","1,011.50","1,020.90","1,026.25","1,010.80","","-0.86%"
"05/01/2014","1,020.30","1,031.10","1,032.65","1,018.35","","-1.21%"
"04/01/2014","1,032.75","1,061.80","1,062.50","1,030.08","","-3.00%"
"03/01/2014","1,064.65","1,073.40","1,083.10","1,060.05","","-0.13%"
"02/01/2014","1,066.01","1,080.55","1,089.85","1,058.20","","-1.33%"
"01/01/2014","1,080.36","1,051.50","1,087.70","1,048.35","","2.94%"
"12/01/2013","1,049.50","1,058.21","1,064.45","1,046.09","","-0.78%"
"11/01/2013","1,057.76","1,061.28","1,074.40","1,054.70","","-0.29%"
"10/01/2013","1,060.83","1,074.53","1,077.00","1,054.28","","-1.19%"
"09/01/2013","1,073.58","1,110.02","1,110.02","1,070.25","","-3.23%"
"08/01/2013","1,109.42","1,123.70","1,127.72","1,107.50","","-1.23%"
"07/01/2013","1,123.25","1,142.40","1,152.82","1,108.47","","-1.59%"
"06/01/2013","1,141.45","1,131.26","1,163.59","1,107.20","","0.97%"
"05/01/2013","1,130.51","1,101.61","1,133.95","1,082.45","","2.67%"
"04/01/2013","1,101.16","1,111.35","1,145.10","1,100.25","","-0.89%"
"03/01/2013","1,111.05","1,084.35","1,120.10","1,082.13","","2.50%"
"02/01/2013","1,083.90","1,088.26","1,098.47","1,076.18","","-0.31%"
"01/01/2013","1,087.31","1,066.25","1,093.90","1,054.47","","2.26%"
"12/01/2012","1,063.24","1,082.50","1,084.75","1,063.18","","-1.69%"
"11/01/2012","1,081.50","1,090.32","1,093.47","1,080.20","","-0.77%"
"10/01/2012","1,089.92","1,113.27","1,117.53","1,089.55","","-2.08%"
"09/01/2012","1,113.07","1,133.79","1,136.86","1,110.47","","-1.78%"
"08/01/2012","1,133.19","1,130.67","1,138.10","1,123.90","","0.26%"
"07/01/2012","1,130.27","1,141.30","1,157.20","1,129.85","","-0.92%"
"06/01/2012","1,140.72","1,180.47","1,184.04","1,140.51","","-3.32%"
"05/01/2012","1,179.87","1,128.80","1,186.38","1,125.28","","4.45%"
"04/01/2012","1,129.55","1,135.82","1,147.40","1,121.45","","-0.16%"
"03/01/2012","1,131.40","1,118.80","1,142.10","1,111.65","","1.13%"
"02/01/2012","1,118.80","1,125.45","1,135.00","1,114.50","","-0.59%"
"01/01/2012","1,125.45","1,158.50","1,166.70","1,120.05","","-2.85%"
"12/01/2011","1,158.50","1,140.05","1,180.00","1,122.60","","1.62%"
"11/01/2011","1,140.05","1,111.85","1,164.95","1,109.95","","2.54%"
"10/01/2011","1,111.85","1,180.00","1,208.25","1,100.00","","-5.85%"
"09/01/2011","1,180.90","1,066.40","1,198.70","1,060.20","","10.89%"
"08/01/2011","1,064.90","1,051.80","1,096.50","1,048.20","","1.03%"
"07/01/2011","1,054.00","1,066.80","1,069.00","1,048.57","","-1.15%"
"06/01/2011","1,066.30","1,076.90","1,092.10","1,066.40","","-1.09%"
"05/01/2011","1,078.00","1,069.80","1,101.90","1,064.00","","0.94%"
"04/01/2011","1,068.00","1,098.00","1,099.15","1,068.50","","-2.51%"
"03/01/2011","1,095.50","1,124.65","1,144.95","1,094.10","","-2.59%"
"02/01/2011","1,124.65","1,119.00","1,136.43","1,099.95","","0.48%"
"01/01/2011","1,119.25","1,120.50","1,132.38","1,108.10","","-0.11%"
"12/01/2010","1,120.50","1,157.00","1,173.10","1,119.50","","-3.15%"
"11/01/2010","1,157.00","1,120.30","1,171.90","1,103.95","","2.89%"
"10/01/2010","1,124.50","1,139.00","1,143.40","1,107.40","","-1.38%"
"09/01/2010","1,140.25","1,198.15","1,199.15","1,138.15","","-4.90%"
"08/01/2010","1,199.00","1,181.60","1,201.20","1,156.40","","1.37%"
"07/01/2010","1,182.75","1,226.65","1,239.45","1,180.95","","-3.31%"
"06/01/2010","1,223.25","1,204.15","1,272.55","1,170.05","","1.76%"
"05/01/2010","1,202.12","1,108.90","1,276.90","1,107.81","","8.45%"
"04/01/2010","1,108.50","1,130.40","1,131.40","1,103.00","","-2.15%"
"03/01/2010","1,132.80","1,158.00","1,160.80","1,126.80","","-2.34%"
"02/01/2010","1,160.00","1,160.30","1,177.90","1,140.80","","0.09%"
"01/01/2010","1,158.90","1,163.27","1,166.70","1,115.10","","-0.62%"
"12/01/2009","1,166.08","1,164.83","1,189.62","1,150.42","","0.23%"
"11/01/2009","1,163.40","1,186.40","1,195.80","1,149.00","","-1.96%"
"10/01/2009","1,186.60","1,175.50","1,206.00","1,149.80","","0.86%"
"09/01/2009","1,176.50","1,249.50","1,254.70","1,174.60","","-5.84%"
"08/01/2009","1,249.50","1,228.50","1,266.40","1,214.50","","2.19%"
"07/01/2009","1,222.70","1,271.40","1,316.50","1,222.70","","-4.09%"
"06/01/2009","1,274.80","1,260.30","1,294.50","1,226.20","","1.32%"
"05/01/2009","1,258.25","1,278.25","1,293.15","1,228.75","","-1.55%"
"04/01/2009","1,278.00","1,369.00","1,392.30","1,278.00","","-6.99%"
"03/01/2009","1,374.05","1,536.65","1,598.65","1,306.55","","-10.39%"
"02/01/2009","1,533.45","1,385.65","1,543.65","1,366.45","","11.00%"
"01/01/2009","1,381.50","1,322.50","1,399.90","1,283.40","","9.38%"
"12/01/2008","1,263.00","1,468.50","1,493.30","1,246.00","","-14.02%"
