"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","8.2017","8.3745","8.5239","8.1634","","-2.06%"
"11/01/2017","8.3738","8.3774","8.5285","8.2710","","-0.02%"
"10/01/2017","8.3752","8.1634","8.4012","8.0252","","2.81%"
"09/01/2017","8.1462","7.9383","8.1924","7.8880","","2.64%"
"08/01/2017","7.9370","8.0670","8.2281","7.9086","","-1.57%"
"07/01/2017","8.0632","8.4244","8.5493","8.0633","","-4.32%"
"06/01/2017","8.4274","8.6854","8.8006","8.4178","","-2.98%"
"05/01/2017","8.6866","8.8514","8.9319","8.6426","","-1.87%"
"04/01/2017","8.8518","8.9661","9.1075","8.7474","","-1.30%"
"03/01/2017","8.9680","9.0351","9.0932","8.7601","","-0.74%"
"02/01/2017","9.0352","8.7418","9.0774","8.6959","","3.37%"
"01/01/2017","8.7404","9.0976","9.2057","8.7364","","-4.03%"
"12/01/2016","9.1077","9.2281","9.4493","8.9940","","-1.26%"
"11/01/2016","9.2240","9.0314","9.3109","8.8861","","2.14%"
"10/01/2016","9.0306","8.5745","9.0907","8.5245","","5.35%"
"09/01/2016","8.5717","8.5656","8.6342","8.3773","","0.09%"
"08/01/2016","8.5637","8.5470","8.6045","8.3360","","0.14%"
"07/01/2016","8.5518","8.4601","8.7015","8.4084","","1.12%"
"06/01/2016","8.4573","8.3327","8.7651","8.0917","","1.51%"
"05/01/2016","8.3312","8.0294","8.3832","7.8931","","3.74%"
"04/01/2016","8.0310","8.1176","8.1848","7.9858","","-1.05%"
"03/01/2016","8.1164","8.5676","8.6487","8.0853","","-5.24%"
"02/01/2016","8.5653","8.5746","8.6025","8.3396","","-0.16%"
"01/01/2016","8.5789","8.4440","8.6564","8.3935","","1.57%"
"12/01/2015","8.4465","8.7282","8.7289","8.3230","","-3.21%"
"11/01/2015","8.7267","8.5229","8.7838","8.4946","","2.24%"
"10/01/2015","8.5358","8.3686","8.5775","8.0936","","2.01%"
"09/01/2015","8.3675","8.4723","8.4963","8.1578","","-1.23%"
"08/01/2015","8.4718","8.6245","8.8376","8.1404","","-1.71%"
"07/01/2015","8.6195","8.2848","8.6769","8.2619","","4.08%"
"06/01/2015","8.2819","8.5185","8.5981","8.0315","","-2.78%"
"05/01/2015","8.5188","8.3265","8.5765","8.1752","","2.28%"
"04/01/2015","8.3287","8.6274","8.8855","8.2275","","-3.48%"
"03/01/2015","8.6288","8.3365","8.8286","8.2550","","3.43%"
"02/01/2015","8.3423","8.2795","8.5534","8.1711","","0.84%"
"01/01/2015","8.2731","7.7965","8.3885","7.7910","","6.13%"
"12/01/2014","7.7955","7.4493","7.8918","7.3921","","4.55%"
"11/01/2014","7.4564","7.3925","7.4838","7.3385","","0.88%"
"10/01/2014","7.3916","7.2130","7.4250","7.1060","","2.49%"
"09/01/2014","7.2121","6.9888","7.2815","6.9818","","3.18%"
"08/01/2014","6.9896","6.8977","6.9983","6.8300","","1.35%"
"07/01/2014","6.8967","6.6833","6.9085","6.6771","","3.21%"
"06/01/2014","6.6822","6.6780","6.7691","6.6190","","-0.08%"
"05/01/2014","6.6875","6.5023","6.6958","6.4604","","2.86%"
"04/01/2014","6.5018","6.4722","6.6272","6.4385","","0.45%"
"03/01/2014","6.4726","6.4090","6.5166","6.3220","","1.03%"
"02/01/2014","6.4068","6.5460","6.5755","6.3995","","-2.11%"
"01/01/2014","6.5446","6.4384","6.5895","6.4036","","1.68%"
"12/01/2013","6.4367","6.5550","6.6193","6.4050","","-1.91%"
"11/01/2013","6.5618","6.4821","6.7058","6.4648","","1.28%"
"10/01/2013","6.4790","6.4309","6.5254","6.3088","","0.82%"
"09/01/2013","6.4265","6.6165","6.6954","6.3053","","-2.91%"
"08/01/2013","6.6192","6.5160","6.6579","6.4593","","1.61%"
"07/01/2013","6.5145","6.6930","6.8672","6.4402","","-2.81%"
"06/01/2013","6.7030","6.6115","6.8031","6.3770","","1.31%"
"05/01/2013","6.6160","6.4818","6.7287","6.4234","","2.09%"
"04/01/2013","6.4803","6.5160","6.6588","6.3261","","-0.65%"
"03/01/2013","6.5228","6.4661","6.5488","6.3175","","0.90%"
"02/01/2013","6.4645","6.3625","6.4913","6.2705","","1.64%"
"01/01/2013","6.3603","6.5031","6.5975","6.3347","","-2.13%"
"12/01/2012","6.4986","6.6656","6.7205","6.4743","","-2.35%"
"11/01/2012","6.6553","6.6343","6.8193","6.5838","","0.34%"
"10/01/2012","6.6330","6.5680","6.7457","6.5286","","1.05%"
"09/01/2012","6.5640","6.6215","6.7873","6.4954","","-0.94%"
