"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2013","0.7653","0.7365","0.7681","0.7293","","3.94%"
"01/01/2013","0.7363","0.7581","0.7693","0.7356","","-2.82%"
"12/01/2012","0.7577","0.7704","0.7765","0.7514","","-1.44%"
"11/01/2012","0.7688","0.7717","0.7898","0.7675","","-0.36%"
"10/01/2012","0.7716","0.7784","0.7810","0.7610","","-0.78%"
"09/01/2012","0.7777","0.7947","0.8000","0.7592","","-2.15%"
"08/01/2012","0.7948","0.8132","0.8242","0.7913","","-2.20%"
"07/01/2012","0.8127","0.7890","0.8305","0.7890","","2.90%"
"06/01/2012","0.7898","0.8091","0.8138","0.7844","","-2.39%"
"05/01/2012","0.8091","0.7552","0.8106","0.7527","","7.15%"
"04/01/2012","0.7551","0.7533","0.7696","0.7473","","0.77%"
"03/01/2012","0.7493","0.7504","0.7690","0.7470","","-0.12%"
"02/01/2012","0.7502","0.7643","0.7707","0.7415","","-1.88%"
"01/01/2012","0.7646","0.7727","0.7922","0.7558","","-1.05%"
"12/01/2011","0.7727","0.7441","0.7778","0.7380","","3.87%"
"11/01/2011","0.7439","0.7215","0.7569","0.7208","","3.10%"
"10/01/2011","0.7215","0.7497","0.7607","0.7018","","-3.40%"
"09/01/2011","0.7469","0.6954","0.7484","0.6953","","7.41%"
"08/01/2011","0.6954","0.6964","0.7114","0.6873","","0.12%"
"07/01/2011","0.6946","0.6896","0.7227","0.6859","","0.77%"
"06/01/2011","0.6893","0.6945","0.7106","0.6804","","-0.76%"
"05/01/2011","0.6946","0.6744","0.7158","0.6693","","2.84%"
"04/01/2011","0.6754","0.7055","0.7112","0.6719","","-4.29%"
"03/01/2011","0.7057","0.7244","0.7276","0.7017","","-2.59%"
"02/01/2011","0.7245","0.7305","0.7448","0.7214","","-0.81%"
"01/01/2011","0.7304","0.7491","0.7768","0.7268","","-2.26%"
"12/01/2010","0.7473","0.7699","0.7710","0.7408","","-2.97%"
"11/01/2010","0.7702","0.7161","0.7713","0.7002","","7.46%"
"10/01/2010","0.7167","0.7336","0.7343","0.7063","","-2.28%"
"09/01/2010","0.7334","0.7881","0.7909","0.7308","","-6.92%"
"08/01/2010","0.7879","0.7655","0.7945","0.7499","","2.83%"
"07/01/2010","0.7662","0.8173","0.8202","0.7629","","-6.25%"
"06/01/2010","0.8173","0.8127","0.8420","0.8022","","0.57%"
"05/01/2010","0.8127","0.7498","0.8235","0.7495","","8.07%"
"04/01/2010","0.7520","0.7403","0.7626","0.7304","","1.61%"
"03/01/2010","0.7401","0.7338","0.7538","0.7237","","0.84%"
"02/01/2010","0.7339","0.7212","0.7439","0.7128","","1.78%"
"01/01/2010","0.7211","0.6980","0.7214","0.6858","","3.24%"
"12/01/2009","0.6985","0.6663","0.7035","0.6604","","4.83%"
"11/01/2009","0.6663","0.6797","0.6838","0.6603","","-1.93%"
"10/01/2009","0.6794","0.6833","0.6907","0.6641","","-0.56%"
"09/01/2009","0.6832","0.6978","0.7054","0.6736","","-2.09%"
"08/01/2009","0.6978","0.7008","0.7120","0.6921","","-0.56%"
"07/01/2009","0.7017","0.7127","0.7230","0.6990","","-1.53%"
"06/01/2009","0.7126","0.7079","0.7274","0.6974","","0.85%"
"05/01/2009","0.7066","0.7561","0.7571","0.7057","","-6.53%"
"04/01/2009","0.7560","0.7549","0.7761","0.7363","","0.19%"
"03/01/2009","0.7546","0.7920","0.8027","0.7278","","-4.38%"
"02/01/2009","0.7892","0.7830","0.7992","0.7637","","0.83%"
"01/01/2009","0.7827","0.7159","0.7834","0.7106","","9.44%"
"12/01/2008","0.7152","0.7866","0.7969","0.6794","","-9.17%"
"11/01/2008","0.7874","0.7844","0.8074","0.7624","","0.27%"
"10/01/2008","0.7853","0.7079","0.8112","0.7056","","10.92%"
"09/01/2008","0.7080","0.6801","0.7205","0.6725","","3.89%"
"08/01/2008","0.6815","0.6410","0.6864","0.6396","","6.32%"
"07/01/2008","0.6410","0.6346","0.6443","0.6234","","0.99%"
"06/01/2008","0.6347","0.6426","0.6534","0.6310","","-1.29%"
"05/01/2008","0.6430","0.6404","0.6542","0.6321","","0.45%"
"04/01/2008","0.6401","0.6344","0.6448","0.6241","","0.95%"
"03/01/2008","0.6341","0.6580","0.6603","0.6287","","-3.73%"
"02/01/2008","0.6587","0.6729","0.6925","0.6561","","-2.10%"
"01/01/2008","0.6728","0.6855","0.6962","0.6701","","-1.84%"
"12/01/2007","0.6854","0.6831","0.6989","0.6769","","0.29%"
"11/01/2007","0.6834","0.6905","0.6944","0.6680","","-1.03%"
"10/01/2007","0.6905","0.7003","0.7136","0.6893","","-1.44%"
"09/01/2007","0.7006","0.7336","0.7379","0.7002","","-4.51%"
"08/01/2007","0.7337","0.7311","0.7485","0.7224","","0.33%"
"07/01/2007","0.7313","0.7383","0.7391","0.7218","","-0.97%"
"06/01/2007","0.7385","0.7433","0.7540","0.7377","","-0.65%"
"05/01/2007","0.7433","0.7330","0.7459","0.7313","","1.42%"
"04/01/2007","0.7329","0.7476","0.7509","0.7308","","-2.10%"
"03/01/2007","0.7486","0.7557","0.7651","0.7455","","-0.94%"
"02/01/2007","0.7557","0.7673","0.7745","0.7540","","-1.50%"
"01/01/2007","0.7672","0.7576","0.7773","0.7519","","1.28%"
"12/01/2006","0.7575","0.7551","0.7662","0.7479","","0.30%"
"11/01/2006","0.7552","0.7835","0.7884","0.7532","","-3.60%"
"10/01/2006","0.7834","0.7885","0.8012","0.7822","","-0.73%"
"09/01/2006","0.7892","0.7809","0.7916","0.7765","","1.06%"
"08/01/2006","0.7809","0.7833","0.7876","0.7727","","-0.32%"
"07/01/2006","0.7834","0.7819","0.8028","0.7773","","0.20%"
"06/01/2006","0.7818","0.7803","0.8014","0.7703","","0.18%"
"05/01/2006","0.7804","0.7920","0.7964","0.7708","","-1.40%"
"04/01/2006","0.7915","0.8251","0.8313","0.7910","","-4.08%"
"03/01/2006","0.8252","0.8386","0.8432","0.8190","","-1.63%"
