movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb
1930,tt0948470,en,The Amazing Spider-Man,2012-06-23 00:00:00+00:00,136,262030663.0,495900000.0,757930663,62004688.0,230000000,12,https://www.metacritic.com/movie/the-amazing-spider-man?ftag=MCD-06-10aaa1c,66.0,554701.0,6.9,6.6,12234.0
818,tt0295178,en,Austin Powers in Goldmember,2002-07-26 00:00:00+00:00,94,213307889.0,83630912.0,296938801,73071188.0,63000000,12,https://www.metacritic.com/movie/austin-powers-in-goldmember?ftag=MCD-06-10aaa1c,62.0,194364.0,6.2,6.0,2163.0
2108,tt0088847,en,The Breakfast Club,1985-02-15 00:00:00+00:00,98,45875171.0,5663115.0,51538286,5107599.0,1000000,12,https://www.metacritic.com/movie/the-breakfast-club?ftag=MCD-06-10aaa1c,66.0,353905.0,7.8,7.8,5862.0
954,tt0117060,en,Mission: Impossible,1996-05-22 00:00:00+00:00,110,180981856.0,276749342.0,457731198,45436830.0,80000000,12,https://www.metacritic.com/movie/mission-impossible?ftag=MCD-06-10aaa1c,59.0,384505.0,7.1,6.9,5862.0
8960,tt0448157,en,Hancock,2008-07-01 00:00:00+00:00,92,227946274.0,401497154.0,629443428,62603879.0,150000000,12,https://www.metacritic.com/movie/hancock?ftag=MCD-06-10aaa1c,49.0,441523.0,6.4,6.3,6886.0
240832,tt2872732,en,Lucy,2014-07-25 00:00:00+00:00,89,126663600.0,332200000.0,458863600,43899340.0,40000000,12,https://www.metacritic.com/movie/lucy?ftag=MCD-06-10aaa1c,61.0,441523.0,6.4,6.4,12238.0
9922,tt0119925,en,The Postman,1997-12-25 00:00:00+00:00,177,17626234.0,,17626234,5260324.0,80000000,12,https://www.metacritic.com/movie/the-postman?ftag=MCD-06-10aaa1c,29.0,68341.0,6.1,6.1,637.0
5279,tt0280707,en,Gosford Park,2001-11-07 00:00:00+00:00,131,41308615.0,46445429.0,87754044,241219.0,19800000,12,https://www.metacritic.com/movie/gosford-park?ftag=MCD-06-10aaa1c,90.0,79831.0,7.2,6.9,637.0
5289,tt0402910,en,Chaos,2005-01-17 00:00:00+00:00,106,,7000248.0,7000248,,12500000,12,/lists/tt0402910,,51154.0,6.5,6.3,637.0
8457,tt0817538,en,Drillbit Taylor,2008-02-04 00:00:00+00:00,102,32862104.0,17082221.0,49944325,10309986.0,40000000,12,https://www.metacritic.com/movie/drillbit-taylor?ftag=MCD-06-10aaa1c,41.0,57881.0,5.7,5.7,669.0
