Unnamed: 0,url,movie_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error,box_office_min,release_date,budget_avg_usd,budget_avg_usd_rate,box_office_avg_usd,box_office_avg_usd_rate
50200,https://en.wikipedia.org/wiki/Live_and_Become,1986,€5.3 million[2],EUR,5300000.0,5300000.0,5300000.0,,$3.7 million[3],USD,,3700000.0,3700000.0,,"{'Live and Become': 'https://archive.org/details/Va.Vis.Et.Deviens.ethiopie.juive.French', 'Official Site': 'https://www.menemshafilms.com/live-and-become', 'IMDb': 'https://www.imdb.com/title/tt0388505/', 'AllMovie': 'https://www.allmovie.com/movie/v324295', '2006 SFJFF Interview with Sirak M. Sabahat': 'http://theeveningclass.blogspot.com/2006/08/2006-sfjffthe-evening-class-interview.html'}",,3700000.0,2005-03-01,6871515.622974199,1.2965123816932451,3700000.0,1.0
56860,https://en.wikipedia.org/wiki/A_Mighty_Heart_(film),1988,$16 million,USD,16000000.0,16000000.0,16000000.0,,$18.9 million,USD,,18900000.0,18900000.0,,"{'Official website': 'https://web.archive.org/web/20070508025901/http://www.amightyheartmovie.com:80/', 'IMDb': 'https://www.imdb.com/title/tt0829459/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/mighty_heart', 'Metacritic': 'https://www.metacritic.com/movie/a-mighty-heart', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=mightyheart.htm', 'AllMovie': 'https://www.allmovie.com/movie/v355218', 'Angelina Jolie talks about the challenges of playing Mariane Pearl': 'https://www.nbcnews.com/id/18833893', 'A Mighty HeartProduction Notes': 'https://web.archive.org/web/20100706044418/http://madeinatlantis.com/movies_central/2007/mighty_heart_production_details.htm'}",,18900000.0,2007-06-01,16000000.0,1.0,18900000.0,1.0
34036,https://en.wikipedia.org/wiki/My_Blueberry_Nights,1989,$10 million,USD,10000000.0,10000000.0,10000000.0,,$22 million[1],USD,22000000.0,22000000.0,22000000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0765120/', 'AllMovie': 'https://www.allmovie.com/movie/v351174', 'Metacritic': 'https://www.metacritic.com/movie/my-blueberry-nights', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/my_blueberry_nights', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/647568/enwp'}",,,2007-11-01,10000000.0,1.0,22000000.0,1.0
15114,https://en.wikipedia.org/wiki/Paranoid_Park_(film),1990,$3 million[5],USD,3000000.0,3000000.0,3000000.0,,$4.5 million[1],USD,4500000.0,4500000.0,4500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0842929/', 'AllMovie': 'https://www.allmovie.com/movie/v379148', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=paranoidpark.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/paranoid_park', 'Metacritic': 'https://www.metacritic.com/movie/paranoid-park'}",,,2007-07-01,3000000.0,1.0,4500000.0,1.0
6235,https://en.wikipedia.org/wiki/Death_Proof,1991,$30 million,USD,30000000.0,30000000.0,30000000.0,,$31.1 million[1],USD,31100000.0,31100000.0,31100000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1028528/', 'AllMovie': 'https://www.allmovie.com/movie/v397299', 'Box Office Mojo': 'https://www.boxofficemojo.com/title/tt1028528/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/death_proof'}",,,2007-05-01,30000000.0,1.0,31100000.0,1.0
20687,https://en.wikipedia.org/wiki/Planet_Terror,1992,$23 million,USD,23000000.0,23000000.0,23000000.0,,$11.4 million[2],USD,11400000.0,11400000.0,11400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1077258/', 'AllMovie': 'https://www.allmovie.com/movie/v397268', 'Box Office Mojo': 'https://www.boxofficemojo.com/title/tt1077258/'}",,,2007-04-01,23000000.0,1.0,11400000.0,1.0
765,https://en.wikipedia.org/wiki/Lara_Croft:_Tomb_Raider,1995,$115 million[3],USD,115000000.0,115000000.0,115000000.0,,$274.7 million[3],USD,274700000.0,274700000.0,274700000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0146316/', 'AllMovie': 'https://www.allmovie.com/movie/v244867', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=tombraider.htm', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/343714/enwp'}",,,2001-06-01,115000000.0,1.0,274700000.0,1.0
25610,https://en.wikipedia.org/wiki/Lara_Croft:_Tomb_Raider_%E2%80%93_The_Cradle_of_Life,1996,$95 million[1],USD,95000000.0,95000000.0,95000000.0,,$160.1 million[1],USD,160100000.0,160100000.0,160100000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0325703/', 'AllMovie': 'https://www.allmovie.com/movie/v281020', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=tombraider2.htm'}",,,2003-07-01,95000000.0,1.0,160100000.0,1.0
4490,https://en.wikipedia.org/wiki/Two_Brothers_(2004_film),1997,€57.8 million[1],EUR,57800000.0,57800000.0,57800000.0,,$62.2 million,USD,62200000.0,62200000.0,62200000.0,,"{'Official website': 'http://twobrothersmovie.net/', 'IMDb': 'https://www.imdb.com/title/tt0338512/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/two_brothers', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=twobrothers.htm'}",,,2004-04-01,69271332.69415148,1.1984659635666346,62200000.0,1.0
34021,https://en.wikipedia.org/wiki/Holy_Lola,1998,$5.8 million [1],USD,5800000.0,5800000.0,5800000.0,,$2.9 million [2],USD,2900000.0,2900000.0,2900000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0384177/', 'http://www.holylola.de/': 'http://www.holylola.de/'}",,,2004-10-01,5800000.0,1.0,2900000.0,1.0
34699,https://en.wikipedia.org/wiki/In_the_Bedroom,1999,$1.7 million[1],USD,1700000.0,1700000.0,1700000.0,,$44.8 million[1],USD,44800000.0,44800000.0,44800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0247425/', 'AllMovie': 'https://www.allmovie.com/movie/v237127', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=inthebedroom.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/in_the_bedroom', 'Metacritic': 'https://www.metacritic.com/movie/in-the-bedroom'}",,,2001-11-01,1700000.0,1.0,44800000.0,1.0
27411,"https://en.wikipedia.org/wiki/Aguirre,_the_Wrath_of_God",2000,"US$370,000[6]",USD,370000.0,370000.0,370000.0,,,,,,,,"{'AllMovie': 'https://www.allmovie.com/movie/v1249', 'IMDb': 'https://www.imdb.com/title/tt0068182/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god'}",,,1972-12-01,370000.0,1.0,,
4691,https://en.wikipedia.org/wiki/We_Own_the_Night_(film),2001,$21–28 million[2][3],USD,21.0,28000000.0,14000010.5,,$55.3 million[3],USD,55300000.0,55300000.0,55300000.0,,"{'Official website': 'http://www.sonypictures.com/movies/weownthenight/', 'IMDb': 'https://www.imdb.com/title/tt0498399/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=weownthenight.htm', 'AllMovie': 'https://www.allmovie.com/movie/v343636'}",,,2007-10-01,14000010.5,1.0,55300000.0,1.0
13229,https://en.wikipedia.org/wiki/The_Last_Mistress,2002,$5.7 million[1],USD,5700000.0,5700000.0,5700000.0,,$1.8 million[2],USD,1800000.0,1800000.0,1800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0437526/', 'AllMovie': 'https://www.allmovie.com/movie/v398833', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=lastmistress.htm', 'Une vieille maîtresse': 'http://filmsdefrance.com/FDF_Une_vieille_maitresse_2007_rev.html', 'Cannes Festival press kit': 'http://www.festival-cannes.com/assets/Image/Direct/021381.pdf'}",,,2007-05-01,5700000.0,1.0,1800000.0,1.0
7581,https://en.wikipedia.org/wiki/Anatomy_of_Hell,2003,,,,,,,"$345,365[3]",USD,345365.0,345365.0,345365.0,,"{'IMDb': 'https://www.imdb.com/title/tt0348529/', 'AllMovie': 'https://www.allmovie.com/movie/v302602', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=anatomyofhell.htm', 'Metacritic': 'https://www.metacritic.com/movie/anatomy-of-hell', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/anatomy_of_hell'}",,,2004-01-01,,,345365.0,1.0
9929,https://en.wikipedia.org/wiki/Sister_Act,2005,$31 million[2],USD,31000000.0,31000000.0,31000000.0,,$231.6 million[3],USD,231600000.0,231600000.0,231600000.0,,{},,,1992-05-01,31000000.0,1.0,231600000.0,1.0
27917,https://en.wikipedia.org/wiki/Lorenzo%27s_Oil,2007,$30 million[1],USD,30000000.0,30000000.0,30000000.0,,$7.2 million[2],USD,7200000.0,7200000.0,7200000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0104756/', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/81834/enwp', 'AllMovie': 'https://www.allmovie.com/movie/v30056', ""Lorenzo's Oil"": 'http://www.ozmovies.com.au/movie/lorenzos-oil'}",,,1992-12-01,30000000.0,1.0,7200000.0,1.0
54087,https://en.wikipedia.org/wiki/The_Promise_(2005_film),2008,$35 million,USD,35000000.0,35000000.0,35000000.0,,$31 million,USD,,31000000.0,31000000.0,,"{'Archived': 'http://www.thepromise.sina.com.cn', 'IMDb': 'https://www.imdb.com/title/tt0417976/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1154356-promise', 'Interview': 'https://outnow.ch/News/2006/02/12/Wu-Ji-The-Promise-Das-Interview-mit-Hiroyuki-Sanada'}",,31000000.0,2005-12-01,35000000.0,1.0,31000000.0,1.0
6440,"https://en.wikipedia.org/wiki/4_Months,_3_Weeks_and_2_Days",2009,"€600,000[3]",EUR,600000.0,600000.0,600000.0,,$9.8 million[1],USD,9800000.0,9800000.0,9800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1032846/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/4_months_3_weeks_and_2_days', 'Metacritic': 'https://www.metacritic.com/movie/4-months-3-weeks-and-2-days', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=4months3weeks2days.htm', 'AllMovie': 'https://www.allmovie.com/movie/v396871', 'Ella Taylor': 'https://www.criterion.com/current/posts/6166-4-months-3-weeks-and-2-days-late-term'}",,,2007-08-01,817772.9317159601,1.362954886193267,9800000.0,1.0
45019,https://en.wikipedia.org/wiki/The_Diving_Bell_and_the_Butterfly_(film),2013,$12.8 million[1],USD,12800000.0,12800000.0,12800000.0,,$19.8 million[2],USD,,19800000.0,19800000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0401383/', 'AllMovie': 'https://www.allmovie.com/movie/v395604', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=divingbellandthebutterfly.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/diving_bell_and_the_butterfly', 'Metacritic': 'https://www.metacritic.com/movie/the-diving-bell-and-the-butterfly', 'New York Review of Books': 'http://www.nybooks.com/articles/21050'}",,19800000.0,2007-05-01,12800000.0,1.0,19800000.0,1.0
17344,https://en.wikipedia.org/wiki/The_Edge_of_Heaven_(film),2014,,,,,,,"$17,804,565[1]",USD,17804565.0,17804565.0,17804565.0,,"{'Official website': 'http://www.auf-der-anderen-seite.de/', 'IMDb': 'https://www.imdb.com/title/tt0880502/', 'AllMovie': 'https://www.allmovie.com/movie/v398836', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=edgeofheaven.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1193111_edge_of_heaven?', 'Metacritic': 'https://www.metacritic.com/movie/the-edge-of-heaven'}",,,2007-09-01,,,17804565.0,1.0
16462,https://en.wikipedia.org/wiki/Secret_Sunshine,2015,US$3.5 million,USD,3500000.0,3500000.0,3500000.0,,US$11.6 million[1],USD,11600000.0,11600000.0,11600000.0,,"{'Korean Movie Database': 'https://www.kmdb.or.kr/eng/db/kor/detail/movie/K/08753', 'IMDb': 'https://www.imdb.com/title/tt0817225/', 'AllMovie': 'https://www.allmovie.com/movie/v398839', 'Box Office Mojo': 'https://www.boxofficemojo.com/title/tt0817225/', 'Metacritic': 'https://www.metacritic.com/movie/secret-sunshine', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/milyang-secret-sunshine', 'Criterion Collection': 'https://www.criterion.com/current/posts/1964-secret-sunshine-a-cinema-of-lucidity'}",,,2007-05-01,3500000.0,1.0,11600000.0,1.0
398,https://en.wikipedia.org/wiki/Days_of_Glory_(2006_film),2016,$14.5 million,USD,14500000.0,14500000.0,14500000.0,,$22.5 million[2],USD,22500000.0,22500000.0,22500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0444182/', 'OfficialDays of Glorywebsite (English)': 'https://archive.today/20120205211411/http://tadrart.com/tessalit/indigenes/home_gb.html', 'More4 News report on the impact ofDays of Glory': 'http://www.channel4.com/more4/news/news-opinion-feature.jsp?id=567', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/days_of_glory_2007'}",,,2006-09-01,14500000.0,1.0,22500000.0,1.0
34587,https://en.wikipedia.org/wiki/No_Good_Deed_(2002_film),2017,$12 million[1],USD,12000000.0,12000000.0,12000000.0,,$1.4 million[2],USD,1400000.0,1400000.0,1400000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0292610/', 'AllMovie': 'https://www.allmovie.com/movie/v276153', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/no_good_deed', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=nogooddeed.htm'}",,,2002-06-01,12000000.0,1.0,1400000.0,1.0
5151,https://en.wikipedia.org/wiki/The_Wedding_Planner,2018,$28–35 million[1][2],USD,28.0,35000000.0,17500014.0,,$94.7 million[2],USD,94700000.0,94700000.0,94700000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0209475/', 'AllMovie': 'https://www.allmovie.com/movie/v232641', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=weddingplanner.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/wedding_planner'}",,,2001-01-01,17500014.0,1.0,94700000.0,1.0
6108,https://en.wikipedia.org/wiki/Hard_Target,2019,$19.5-20 million[1][2],USD,19500000.0,20000000.0,19750000.0,,$74.2 million[3],USD,74200000.0,74200000.0,74200000.0,,"{'Official website': 'http://www.universalstudiosentertainment.com/hard-target/', 'IMDb': 'https://www.imdb.com/title/tt0107076/', 'AllMovie': 'https://www.allmovie.com/movie/v21539', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/77381/enwp', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/hard_target', 'Metacritic': 'https://www.metacritic.com/movie/hard-target', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=hardtarget.htm'}",,,1993-04-01,19750000.0,1.0,74200000.0,1.0
