url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/Soul_Man_(film),12278,$4.5 million[1],USD,4500000.0,4500000.0,4500000.0,,$35 million,USD,35000000.0,35000000.0,35000000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0091991/', 'AllMovie': 'https://www.allmovie.com/movie/v45727', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=soulman.htm', 'Review of film': 'https://www.vice.com/en_us/article/remembering-the-absurdly-racist-blackface-comedy-soul-man', 'Archived': 'https://www.nytimes.com/movie/review?res=9A0DE2DB153AF937A15753C1A960948260'}",
https://en.wikipedia.org/wiki/Scary_Movie_2,4248,$45 million[3],USD,45000000.0,45000000.0,45000000.0,,$141.2 million[3],USD,141200000.0,141200000.0,141200000.0,,"{'': 'http://www.miramax.com/movie/scary-movie-2', 'IMDb': 'https://www.imdb.com/title/tt0257106/', 'AllMovie': 'https://www.allmovie.com/movie/v246290', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=scarymovie2.htm', 'Metacritic': 'https://www.metacritic.com/movie/scary-movie-2', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/scary_movie_2'}",
https://en.wikipedia.org/wiki/Dead_Air_(2009_film),24963,,,,,,,,,,,,,"{'Official website': 'http://www.deadair-movie.com/', 'IMDb': 'https://www.imdb.com/title/tt0993841/'}",
https://en.wikipedia.org/wiki/Everlasting_Regret,47293,,,,,,,,,,,,,{'IMDb': 'https://www.imdb.com/title/tt0475263/'},
https://en.wikipedia.org/wiki/Dead_Man%27s_Cards,13718,,,,,,,,,,,,,"{'dead link': 'http://www.deadmanscards.com', 'IMDb': 'https://www.imdb.com/title/tt0455933/'}",
"https://en.wikipedia.org/wiki/Not_For,_or_Against",11958,€9.9 million[1],EUR,9900000.0,9900000.0,9900000.0,,$2.2 million[2],USD,2200000.0,2200000.0,2200000.0,,{'IMDb': 'https://www.imdb.com/title/tt0298082/'},
https://en.wikipedia.org/wiki/Sextette,116760,$4 million[2]–$8 million[3][4],USD,4000000.0,8000000.0,6000000.0,,"$50,000[4]",USD,50000.0,50000.0,50000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0078238/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/sextette', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/89694/enwp', 'Letterboxd': 'https://letterboxd.com/film/sextette/'}",
https://en.wikipedia.org/wiki/The_Passion_of_Ayn_Rand_(film),49622,,,,,,,,,,,,,"{'AllMovie': 'https://www.allmovie.com/movie/v176668', 'IMDb': 'https://www.imdb.com/title/tt0140447/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/passion_of_ayn_rand', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/452652/enwp'}",
https://en.wikipedia.org/wiki/For_Those_in_Peril_(2013_film),187927,,,,,,,"£2,412[1]",GBP,2412.0,2412.0,2412.0,,"{'IMDb': 'https://www.imdb.com/title/tt2315628/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/for_those_in_peril_2013'}",
https://en.wikipedia.org/wiki/50_Ways_of_Saying_Fabulous,89608,,,,,,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0429482/', 'AllMovie': 'https://www.allmovie.com/movie/v337147', 'Review from the New York Times': 'http://movies2.nytimes.com/2006/06/02/movies/02fabu.html', 'NZ On Screen page': 'http://www.nzonscreen.com/title/50-ways-of-saying-fabulous-2005'}",
