movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb,is_sequel_my,quarter,month,year,revenue_usd_adj,surplus,ratio_adj,roi,is_released_US,is_released_CN,is_released_FR,is_released_GB,is_released_JP,is_released,digital_physical_date,days_from_us_release
79743,tt1428050,fi,Mitä meistä tuli,2009-12-11 00:00:00+00:00,116,,16614.0,16614,,20130.37301258058,U,/lists/tt1428050,,286.0,5.9,0.0,0.0,0,4,12,2009,22663.55066958147,-8798.597677789847,1.1258385850782677,-0.4370807074608661,False,False,False,False,False,False,,9999.0
70040,tt2089691,ko,그녀들의 방,2008-10-01 00:00:00+00:00,108,,1269.0,1269,,91110.53721963929,U,/lists/tt2089691,,9.0,7.4,0.0,0.0,0,4,10,2008,1724.914167475604,-90248.08013590149,0.018932104014680214,-0.9905339479926599,False,False,False,False,False,False,,9999.0
117491,tt0295281,he,ג'ירפות,2001-09-01 00:00:00+00:00,115,,15733.0,15733,,1189788.8198757763,U,/lists/tt0295281,,81.0,7.2,0.0,0.0,0,3,9,2001,25998.53819875776,-1176789.5507763973,0.02185138888888889,-0.9890743055555555,True,False,True,False,False,True,,9999.0
163600,tt0843858,en,Lady Godiva,2008-01-25 00:00:00+00:00,89,,14000.0,14000,,3768793.3732692995,U,/lists/tt0843858,,118.0,3.9,0.0,0.0,0,1,1,2008,19029.785929596892,-3759278.480304501,0.005049304656649086,-0.9974753476716754,False,False,False,True,False,True,,9999.0
219896,tt1817186,ja,映画 怪物くん,2011-11-26 00:00:00+00:00,103,,39766344.0,39766344,,32526040.39317326,U,/lists/tt1817186,,45.0,5.3,0.0,0.0,0,4,11,2011,51737668.449312925,-6657206.168516796,1.5906537600000001,-0.20467311999999996,False,False,False,False,True,True,,9999.0
149847,tt0949365,de,Chrigu,2007-06-11 00:00:00+00:00,87,,77758.0,77758,,78762.3072508223,U,/lists/tt0949365,,133.0,7.7,0.0,0.0,0,2,6,2007,109752.32943639011,-23886.142532627244,1.3934625999068135,-0.30326870004659323,False,False,False,False,False,False,,9999.0
154781,tt1723635,en,El vuelo del tren,2011-04-29 00:00:00+00:00,86,,21158.0,21158,,650520.8078634653,U,/lists/tt1723635,,16.0,7.5,0.0,0.0,0,2,4,2011,27527.43850555039,-636757.0886106901,0.04231599999999999,-0.978842,False,False,False,False,False,False,2022-07-26 00:00:00+00:00,9999.0
141038,tt2122380,es,Las constituyentes,2012-12-14 00:00:00+00:00,70,,2942.0,2942,,250108.02035331933,U,/lists/tt2122380,,,,0.0,0.0,0,4,12,2012,3750.0588430011235,-248232.99093181876,0.014993756848355121,-0.9925031215758224,False,False,False,False,False,False,,9999.0
233142,tt1185608,pt,Mulheres Sexo Verdades Mentiras,2008-01-11 00:00:00+00:00,80,,89406.0,89406,,556704.1539365451,U,/lists/tt1185608,,52.0,5.8,0.0,0.0,0,1,1,2008,121526.93148725283,-495940.6881929187,0.21829715231674893,-0.8908514238416255,False,False,False,False,False,False,,9999.0
82449,tt1870484,sv,Någon annanstans i Sverige,2011-12-16 00:00:00+00:00,101,,14479.0,14479,,2822232.4832510147,U,/lists/tt1870484,,207.0,4.9,0.0,0.0,0,4,12,2011,18837.78155411022,-2812813.5924739596,0.006674780219526923,-0.9966626098902365,False,False,False,False,False,False,,9999.0
